English	Persian
Nobel Prize	جایزه نوبل
Nobelium	نوبلیوم
Noble gas	گازهای نجیب
Nomad	عشایر
Norma (constellation)	گونیا (صورت فلکی)
Normal distribution	توزیع نرمال
Norman Mailer	نورمن میلر
Normandy	نورماندی
Norn	نورن
North	شمال
North Africa	آفریقای شمالی
North America	آمریکای شمالی
North America	رده:آمریکای شمالی
North Carolina	کارولینای شمالی
North Dakota	داکوتای شمالی
North Korea	کره شمالی
North Korea	رده:کره شمالی
North Sea	دریای شمال
Northern Europe	اروپای شمالی
Northern Hemisphere	نیم‌کره شمالی
Northern Ireland	ایرلند شمالی
Northern Mariana Islands	مجمع‌الجزایر ماریانای شمالی
Northern Territory	سرزمین شمالی (استرالیا)
Norway	نروژ
Norway	رده:نروژ
Nose	بینی
Nostradamus	نوسترآداموس
Note	نت
Nouakchott	نوآکشوت
Noun	اسم (دستور زبان)
Nova Scotia	نوا اسکوشیا
Novel	رمان
November	نوامبر
November 1	۱ نوامبر
November 11	۱۱ نوامبر
November 2	۲ نوامبر
November 5	۵ نوامبر
Novial	زبان نوویال
Novosibirsk	نووسیبیرسک
Nuclear fission	شکافت هسته‌ای
Nuclear fusion	همجوشی هسته‌ای
Nuclear physics	فیزیک هسته‌ای
Nuclear power	انرژی هسته‌ای
Nuclear weapon	جنگ‌افزار هسته‌ای
Nucleic acid	اسید نوکلئیک
Nucleon	ذرات هسته‌ای
Nucleotide	نوکلئوتید
Number	عدد
Numbers	رده:اعداد
Nuremberg	نورنبرگ
O	O
OPEC	اوپک
Oahu	اوآهو
Oak	بلوط
Oakland	اوکلند
Oasis	واحه
Oat	یولاف
Obelisk	ابلیسک
Object-oriented programming	برنامه‌نویسی شی‌گرا
Oboe	ابوا
Observatory	رصدخانه
Obsidian	ابسيدين
Occam's razor	تیغ اوکام
Ocean	اقیانوس
Oceania	اقیانوسیه
Oceanid	اوکئانیدها
Oceanus	اوکئانوس
Octans	هشتک (صورت فلکی)
Octave	اوکتاو
October	اکتبر
October 12	۱۲ اکتبر
October 24	۲۴ اکتبر
Octopus	هشت‌پا
Odessa	اودسا
Odin	اودین
Odysseus	اودیسئوس
Odyssey	ادیسه
Oedipus	ادیپ
Ohio	اوهایو
Ohm	اهم
Ohm's law	قانون اهم
Oil	روغن
Oil (disambiguation)	روغن
Oklahoma	اکلاهوما
Oklahoma City	اکلاهوما سیتی
Oktoberfest	جشن اکتبر
Olive	زیتون
Olive oil	روغن زیتون
Oliver Cromwell	الیور کرامول
Olympia	المپیا (ایالات متحده)
Olympia	المپیا
Olympic Games	بازی‌های المپیک
Omaha	اوماها
Oman	عمان
Oman	رده:عمان
Onion	پیاز
Ontario	انتاریو
Ontario	رده:انتاریو
Ontology	هستی‌شناسی
Oort cloud	ابر اورت
Opel	شرکت خودروسازی اپل
Opera	اپرا
Opera (Internet suite)	مرورگر اپرا
Operating system	سیستم عامل
Ophiuchus	مارافسای
Opium	تریاک
Optical fiber	فیبر نوری
Optical illusion	خطای دید
Optics	نورشناخت
Optimization (mathematics)	بهینه‌سازی (ریاضیات)
Oral sex	آمیزش جنسی دهانی
Orange (colour)	نارنجی
Orange (fruit)	پرتقال
Orbit	مدار (سیاره)
Oregon	اورگن
Orestes (mythology)	اورستس
Organ (music)	ارگ (ساز)
Organelle	اندامک
Organic chemistry	شیمی آلی
Organic compound	ترکیب آلی
Organism	اندامگان
Organization	سازمان
Orgasm	اوج لذت جنسی
Origami	اریگامی
Orlando	اورلندو
Orson Welles	اورسن ولز
Osaka	اوساکا
Osama bin Laden	اسامه بن لادن
Oscar Wilde	اسکار وایلد
Oscillation	نوسان
Osiris	اوزیریس
Oslo	اسلو
Osman I	عثمان اول
Osmium	اسمیوم
Ostrava	استراوا
Ostrich	شترمرغ
Othello	اتلو
Ottawa	اتاوا
Otto von Bismarck	اتو فون بیسمارک
Ottoman Empire	امپراتوری عثمانی
Ounce	اونس
Oviedo	ابیدو
Owl	جغد
Oxford	آکسفورد
Oxygen	اکسیژن
Ozone	ازن
P	P
PH	پ‌هاش
Pablo Neruda	پابلو نرودا
Pablo Picasso	پابلو پیکاسو
Pacific Ocean	اقیانوس آرام
Pakistan	پاکستان
Pakistan	رده:پاکستان
Palace of Versailles	کاخ ورسای
Palau	پالائو
Paleontology	دیرین‌شناسی
Paleozoic	دیرینه‌زیستی
Palermo	پالرمو
Palestine	فلسطین
Palestine	رده:فلسطین
Palestine Liberation Organization	سازمان آزادی‌بخش فلسطین
Palindrome	واروخوانه
Palmyra	پالمیرا
Pamir Mountains	پامیر
Panama	پاناما
Panama	رده:پاناما
Panama City	پاناماسیتی
Pancreas	لوزالمعده
Pandora	پاندورا
Pangaea	پانجه‌آ
Papua New Guinea	پاپوآ گینه نو
Papyrus	پاپیروس
Paradigm	پارادایم
Paradox	پارادوکس
Paraguay	پاراگوئه
Paraguay	رده:پاراگوئه
Parallax	اختلاف منظر
Paramaribo	پاراماریبو
Paranoia	پارانویا
Parapsychology	فراروان‌شناسی
Parasitism	انگل
Paris	پاریس
Paris (mythology)	پاریس (شخصیت افسانه‌ای)
Parkinson's disease	پارکینسون
Parmenides	برمانیدس
Parsec	پارسک
Parsley	جعفری (سبزی)
Parthenon	پارتنون
Parthia	اشکانیان
Particle physics	فیزیک ذرات
Pascal	پاسکال (ابهام‌زدایی)
Pascal (programming language)	زبان برنامه‌نویسی پاسکال
Passeriformes	رده:گنجشک‌سانان
Passover	پسح
Passport	گذرنامه
Patagonia	پاتاگونیا
Patent	حق امتیاز
Pathology	گیاه‌پزشکی
Patras	پاتراس
Patriotism	میهن‌دوستی
Paul Gauguin	پل گوگن
Paul Klee	پل کله
Paul McCartney	پل مک‌کارتنی
Paul Newman	پل نیومن
Pauli exclusion principle	اصل طرد پاولی
Pavo (constellation)	طاووس (صورت فلکی)
Peach	هلو
Peafowl	طاووس
Peanut	بادام زمینی
Pear	گلابی
Pearl	مروارید
Pearl Harbor	پرل هاربر
Pediatrics	پزشکی کودکان
Pegasus	پگاسوس
Pegasus (constellation)	اسب بزرگ (صورت فلکی)
Pendulum	آونگ
Penelope	پنلوپه
Penguin	پنگوئن
Penicillin	پنی‌سیلین
Peninsula	شبه جزیره
Pennsylvania	پنسیلوانیا
Pentagram	ستاره پنج پر
Pepin the Short	پپن کهتر
Pepsi	پپسی‌کولا
Peptide	پپتید
Perception	ادراک
Perciformes	سوف‌ماهی‌شکلان
Percussion instrument	ساز کوبه‌ای
Perestroika	پروستریکا
Pericles	پریکلس
Periodic table	جدول تناوبی (استاندارد)
Perm	پرم
Persepolis	تخت جمشید
Perseus	پرسئوس
Perseus (constellation)	برساووش
Persian Empire	تاریخ ایران پیش از اسلام
Persian Gulf	خلیج فارس
Personal digital assistant	دستیار دیجیتال شخصی
Perth	پرث
Peru	پرو
Peru	رده:پرو
Petroleum	نفت
Petrology	سنگ‌شناسی
Phanerozoic	پیرازیستی
Pharaoh	فرعون
Pharmacology	داروسازی
Pharynx	حلق
Phase (matter)	فاز (ماده)
Phenomenology	پدیدارشناسی
Philadelphia	فیلادلفیا
Philip II of Macedon	فیلیپ دوم مقدونی
Philipp Lenard	فیلیپ لنارت
Philippines	فیلیپین
Philosophy	فلسفه
Philosophy	رده:فلسفه
Phnom Penh	پنوم پن
Phobia	هراس
Phobos (moon)	فوبوس
Phoenicia	فنیقی‌ها
Phoenix	فینیکس
Phoenix (constellation)	سیمرغ (صورت فلکی)
Phoenix (mythology)	ققنوس
Phoenix (spacecraft)	کاوشگر فینیکس
Phoneme	واج
Phonetics	آواشناسی
Phonology	واج‌شناسی
Phosphoric acid	فسفریک اسید
Phosphorus	فسفر
Photography	عکاسی
Photon	فوتون
Photosynthesis	نورساخت
Physical chemistry	شیمی‌فیزیک
Physics	فیزیک
Physics	رده:فیزیک
Physics	درگاه:فیزیک
Physiology	فیزیولوژی
Physiology	رده:فیزیولوژی
Pi	عدد پی
Piano	پیانو
Piciformes	دارکوب‌سانان
Pictor	سه‌پایه (صورت فلکی)
Pierre	پییر
Pierre Curie	پیر کوری
Pierre de Fermat	پییر دو فرما
Piet Mondrian	پیت موندریان
Pieter Zeeman	پیتر زیمان
Pigment	رنگ‌دانه
Pisa	پیزا
Pisces (constellation)	ماهی (صورت فلکی)
Pittsburgh	پیتسبورگ
Pixel	پیکسل
Pizza	پیتزا
Planet	سیاره
Plankton	پلانکتون
Plasma (physics)	پلاسما (فیزیک)
Plasmid	پلاسمید
Plastid	پلاستید
Plate tectonics	زمین‌ساخت
Platinum	پلاتین
Plato	افلاطون
Platypus	نوک‌اردکی
Playboy	پلی‌بوی
Pleiades (star cluster)	خوشه پروین
Pliny the Elder	پلینیوس
Plotinus	فلوطین
Plum	آلو
Plutarch	پلوتارک
Pluto	پلوتون (سیاره کوتوله)
Plutonium	پلوتونیوم
Po River	پو (رودخانه)
Podcast	پادکست
Poetry	شعر
Poetry	رده:شعر
Point (geometry)	نقطه (هندسه)
Poker	پوکر
Poland	لهستان
Poland	رده:لهستان
Polar bear	خرس قطبی
Polaris	ستاره قطبی
Political party	حزب
Political science	علوم سیاسی
Political science	رده:علوم سیاسی
Politics	سیاست
Politics	رده:سیاست
Pollination	گرده‌افشانی
Polo	چوگان
Polonium	پولونیوم
Polygamy	چندهمسری
Polymer	بسپار
Polynesia	پلی‌نزی
Polynomial	چندجمله‌ای
Polytheism	چندخدایی
Pomegranate	انار
Pompey	پومپه
Pop art	پاپ آرت
Pop music	موسیقی پاپ
Pope	پاپ
Poplar	سپیدار
Populism	پوپولیسم
Porcelain	پرسلان
Port	بندر
Port Louis	پورت‌لوئیس
Port Moresby	پورت مورسبی
Port Vila	پورت ویلا
Port-au-Prince	پورت او پرنس
Portland	پورت‌لند
Porto	پورتو
Portugal	پرتغال
Portugal	رده:پرتغال
Poseidon	پوزئیدون
Positron	پوزیترون
Postage stamp	تمبر
Postmodernism	پسانوگرایی
Potassium	پتاسیم
Potassium nitrate	شوره
Potato	سیب‌زمینی
Potential energy	انرژی پتانسیل
Pound sterling	پوند استرلینگ
Poverty	فقر
Power (physics)	توان
Power station	نیروگاه
Prague	پراگ
Praseodymium	پراسیودیمیوم
Prayer	نماز
Prehistory	پیش از تاریخ
President	رئیس جمهور
President of the United States	رئیس جمهور ایالات متحده آمریکا
Pressure	فشار
Pretoria	پرتوریا
Priest	کشیش
Primate	نخستی‌ها
Prime Meridian	نصف‌النهار مبدأ
Prime number	عدد اول
Princeton University	دانشگاه پرینستون
Principle of relativity	اصل نسبیت
Printing	چاپ
Prion	پریون
Prison	زندان
Prix Goncourt	جایزه گنکور
Probability	احتمالات
Probability theory	نظریه احتمالات
Probability theory	رده:نظریه احتمالات
Programming language	زبان های برنامه نویسی
Project	پروژه
Prokaryote	پروکاریوت
Prometheus	پرومتئوس
Promethium	پرومتیوم
Pronoun	ضمیر
Propaganda	جوسازی
Prophet	پیامبر
Prose	نثر
Protactinium	پروتاکتینیوم
Protein	پروتئین
Protestantism	پروتستانتیسم
Protist	آغازیان
Protocol	??????
Proton	پروتون
Protozoa	تک‌یاختگان
Providence	پراویدنس
Prunus	گوجه سبز
Prussia	پروس
Psalms	مزامیر داوود
Pseudonym	نام مستعار
Pseudoscience	رده:دانش‌نماها
Pseudoscience	شبه علم
Psoriasis	داء‌الصدف
Psychoanalysis	روانکاوی
Psychology	روان‌شناسی
Psychology	رده:روانشناسی
Ptolemaic dynasty	دودمان بطلمیوسی
Ptolemy	بطلمیوس (ابهام‌زدایی)
Puberty	بلوغ جنسی
Public domain	مالکیت عمومی
Public relations	روابط عمومی
Puerto Rico	پورتوریکو
Puerto Rico	رده:پورتوریکو
Pulley	قرقره (چرخ)
Pulsar	تپ‌اختر
Pump	پمپ
Punctuation	نشانه‌های نوشتاری
Puppis	کشتیدم
Pyongyang	پیونگ‌یانگ
Pyramid	هرم
Pyrenees	پیرنه
Pythagoras	فیثاغورس
Python (programming language)	زبان برنامه‌نویسی پایتون
Pyxis	قطب‌نما (صورت فلکی)
Q	Q
Qatar	قطر (کشور)
Quantum field theory	نظریه میدان‌های کوانتومی
Quantum mechanics	مکانیک کوانتومی
Quantum mechanics	رده:مکانیک کوانتومی
Quark	کوارک
Quartz	کوارتز
Quasar	اخترنما
Quaternion	چهارگان‌ها
Quebec	کبک (استان)
Quebec	رده:کبک
Quebec City	کبک (شهر)
Queens	کوینز
Queensland	کوئینزلند
Quentin Tarantino	کوئنتین تارانتینو
Quince	به
Quito	کوئیتو
R	R
Rabat	رباط
Rabindranath Tagore	رابیندرانات تاگور
Racism	نژادپرستی
Radar	رادار
Radio telescope	رادیو تلسکوپ
Radioactive decay	واپاشی هسته‌ای
Radiology	پرتوشناسی
Radon	رادون
Rainbow	رنگین‌کمان
Raleigh	رالی (کارولینای شمالی)
Ralph Waldo Emerson	رالف والدو امرسن
Ramadan	رمضان
Ramesses II	رامسس دوم
Random access memory	حافظه دسترسی تصادفی
Ranunculaceae	آلالگان
Rape	تجاوز جنسی
Raphael	رافائل
Raphael (archangel)	اسرافیل
Rational number	اعداد گویا
Ratite	سینه‌پهنان
Rawalpindi	راولپندی
Ray Bradbury	ری بردبری
Real number	اعداد حقیقی
Rectangle	مستطیل
Rectifier	یکسوکننده
Recycling	بازیافت
Red	سرخ
Red Sea	دریای سرخ
Red blood cell	گویچه سرخ
Red giant	غول قرمز
Redshift	انتقال به سرخ
Referendum	همه‌پرسی
Refraction	شکست نور
Reggae	رگی
Regina	رجاینا
Region	منطقه
Reindeer	گوزن شمالی
Relativism	نسبی‌گرایی اخلاقی
Relativity	رده:نسبیت
Relay	رله
Religion	دین
Religion	رده:دین
Rembrandt	رامبرانت
Renaissance	رنسانس
Reptile	خزندگان
Republic	جمهوری
Republic of China	جمهوری چین
Republic of Ireland	ایرلند
Republic of the Congo	جمهوری کنگو
Republic of the Congo	رده:جمهوری کنگو
Republican Party (United States)	حزب جمهوری‌خواه ایالات متحده آمریکا
Restaurant	غذاخوری
Reticulum	تور (صورت فلکی)
Retinol	ویتامین آ
Revolution	انقلاب
Rhea (mythology)	رئا
Rhenium	رنیوم
Rhine	رود راین
Rhinoceros	کرگدن
Rhode Island	رود آیلند
Rhodium	رادیوم
Rhythm	ریتم
Rhythm and blues	ریتم و بلوز
Ribosome	ریبوزوم
Rice	برنج
Richard Feynman	ریچارد فاینمن
Richard Nixon	ریچارد نیکسون
Richard Strauss	ریچارد اشتراوس
Richard Wagner	ریچارد واگنر
Richmond	ریچموند
Rigel	پای شکارچی
Right ascension	بعد (ستاره‌شناسی)
Ring (mathematics)	حلقه (ریاضی)
Ringo Starr	رینگو استار
Rio Grande	رودخانه ریوگراند
Rio de Janeiro	ریو دوژانیرو
River	رود
River Thames	رود تیمز
Riyadh	ریاض
Robert A. Heinlein	رابرت آنسون هاین‌لاین
Robert Andrews Millikan	رابرت میلیکان
Robert Boyle	رابرت بویل
Robert De Niro	رابرت دنیرو
Robert Hooke	رابرت هوک
Robert Koch	رابرت کخ
Robert Oppenheimer	روبرت اوپنهایمر
Robert Owen	رابرت اوون/موقت
Robert Redford	رابرت ردفورد
Robert Schumann	روبرت شومان
Robin Hood	رابین‌هود
Robot	روبات
Rock and roll	راک اند رول
Rock music	راک
Rocky Mountains	رشته‌کوه راکی
Rodent	جوندگان
Roe Deer	شوکا
Roentgenium	رونتگنیوم
Roger Bacon	راجر بیکن
Roman Empire	امپراتوری روم
Romania	رومانی
Romania	رده:رومانی
Romanticism	رمانتیسیسم
Rome	رم
Ronald Reagan	رونالد ریگان
Root	ریشه
Rosa Parks	رزا پارکس
Rosaceae	گلسرخیان
Rosary	تسبیح
Rose	گل سرخ
Roseau	روسو
Rosemary	رومارن
Rosh Hashanah	روش هشانا
Rotterdam	روتردام
Router	مسیریاب
Royal Air Force	نیروی هوایی پادشاهی
Royal Society	انجمن سلطنتی
Rubber	کائوچو
Rubidium	روبیدیوم
Ruby	یاقوت
Ruby (programming language)	روبی
Rudolf Steiner	رودولف اشتاینر
Rugby football	راگبی
Rupert Murdoch	روپرت مرداک
Russia	روسیه
Russia	رده:روسیه
Russian Revolution (1917)	انقلاب ۱۹۱۷ روسیه
Russo-Japanese War	جنگ روسیه و ژاپن (۱۹۰۴ میلادی)
Ruthenium	روتنیوم
Rutherford B. Hayes	روترفورد بیر چارد هیس
Rwanda	رواندا
Rwanda	رده:رواندا
S	S
SOAP	پروتکل دسترسی آسان به اشیاء
Sacramento	ساکرامنتو
Saddam Hussein	صدام حسین
Safari (web browser)	سافاری
Saffron	زعفران
Sagitta	پیکان (صورت فلکی)
Sagittarius (constellation)	کمان (صورت فلکی)
Sahara	صحرا
Saint Kitts and Nevis	سنت کیتس و نویس
Saint Lucia	سنت لوسیا
Saint Nicholas	نیکلاس قدیس
Saint Paul	سینت‌پال
Saint Petersburg	سن پترزبورگ
Saint Vincent and the Grenadines	سنت وینسنت و گرنادین
Sake	ساکی
Saladin	صلاح‌الدین ایوبی
Salah	نماز (اسلام)
Salamander	سمندر
Salem	سیلم
Saliva	بزاق
Salman Rushdie	سلمان رشدی
Salt Lake City	سالت‌لیک‌سیتی
Salzburg	سالزبورگ
Salzburg (state)	ایالت سالزبورگ
Samarium	ساماریوم
Samarkand	سمرقند
Samoa	ساموآ
Samuel Beckett	ساموئل بکت
Samuel F. B. Morse	ساموئل مورس
San Antonio	سن‌آنتونیو
San Diego	سن دیگو
San Francisco	سان‌فرانسیسکو
San Jose	سان خوزه، کالیفرنیا
San Juan	سان خوآن
San Marino	سان مارینو
San Marino	رده:سان مارینو
San Salvador	سان سالوادور
Sanskrit	سانسکریت
Santa Fe	سنتا فه، نیومکزیکو
Santiago	سانتیاگو
Santo Domingo	سانتو دومینگو
Sappho	سافو
Saratov	ساراتوف
Sardine	ساردین
Sardinia	ساردنی
Sari	ساری
Saskatchewan	ساسکاچوان
Satan	شیطان
Satanism	شیطان‌پرستی
Satellite	ماهواره
Saturday	شنبه
Saturn	کیوان (سیاره)
Sauce	سس
Saudi Arabia	عربستان سعودی
Saudi Arabia	رده:عربستان سعودی
Saxony	زاکسن
Saxophone	ساکسوفون
Scandinavia	اسکاندیناوی
Scandium	اسکاندیم
Scheme (programming language)	اسکیم
Schizophrenia	روان‌گسیختگی
Schutzstaffel	وافن اس‌اس
Science	علم
Science	رده:علوم
Science fiction	علمی-تخیلی
Scientist	دانشمند
Scientology	ساینتولوژی
Scorpion	کژدم
Scotland	اسکاتلند
Scotland	رده:اسکاتلند
Screw	پیچ
Screwdriver	پیچ گوشتی
Sculptor (constellation)	سنگتراش (صورت فلکی)
Sea	دریا
Sea Otter	شنگ دریایی
Sea anemone	شقایق دریایی
Sea cucumber	خیار دریایی
Sea of Azov	دریای آزوف
Sea of Japan	دریای ژاپن
Sea of Marmara	دریای مرمره
Sea of Okhotsk	دریای اختسک
Sea urchin	توتیای دریایی
Seahorse	اسب دریایی
Search engine	موتور جستجو
Seattle	سیاتل
Second	ثانیه
Second law of thermodynamics	قانون دوم ترمودینامیک
Segovia	سگوبیا
Seine	رود سن
Seismology	زلزله‌شناسی
Seismology	رده:زلزله‌شناسی
Selenium	سلنیوم
Seleucus I Nicator	سلوکوس یکم
Semantics	معناشناسی
Semantics	رده:معناشناسی
Semen	منی
Semiconductor	نیمه‌رسانا
Semiotics	نشانه‌شناسی
Semitic	سامی
Senegal	سنگال
Senegal	رده:سنگال
Seoul	سئول
September	سپتامبر
September 11	۱۱ سپتامبر
September 11	حملات ۱۱ سپتامبر
September 17	۱۷ سپتامبر
September 29	۲۹ سپتامبر
Septuagint	سپتانت
Sequence	توالی
Serbia	صربستان
Serbia and Montenegro	صربستان و مونته‌نگرو
Sergei Eisenstein	سرگئی آیزنشتاین
Sergei Rachmaninoff	سرگئی راخمانینف
Series (mathematics)	سری
Serpens	مار (صورت فلکی)
Set	مجموعه (ریاضی)
Set theory	نظریه مجموعه‌ها
Set theory	رده:نظریه مجموعه‌ها
Sevastopol	سواستوپول
Sex	جنس
Sex organ	اندام جنسی
Sexism	جنسیت‌گرایی
Sextant	سدس
Sexuality	رده:جنسیت
Sexually transmitted disease	بیماری‌های آمیزشی
Seychelles	سیشل
Seychelles	رده:سیشل
Shah	شاه
Shamanism	شمن‌باوری
Shanghai	شانگهای
Shark	کوسه
Sherlock Holmes	شرلوک هلمز
Shetland	شتلند
Shield	سپر
Shikoku	شیکوکو
Shinto	شینتو
Ship	کشتی (شناور)
Shogi	شوگی
Siberia	سیبری
Sichuan	سیچوآن
Sicily	سیسیل
Sierra Leone	سیرالئون
Sierra Leone	رده:سیرالئون
Sigmund Freud	زیگموند فروید
Sikhism	آئین سیک
Silicon	سیلیسیم
Silicon Valley	دره سیلیکون
Silicon dioxide	سیلیس
Silk	ابریشم
Silk Road	جاده ابریشم
Silver	نقره
Simone de Beauvoir	سیمون دوبوار
Sinai Peninsula	شبه‌جزیره سینا
Singapore	سنگاپور
Single (music)	تک‌آهنگ
Siren	سیرن
Sirius	شباهنگ (ستاره)
Sisyphus	سیزیف
Six-Day War	جنگ شش روزه
Skepticism	شک‌گرایی
Skin	پوست
Skopje	اسکوپیه
Skull	جمجمه
Skylab	اسکای‌لب
Skyscraper	آسمانخراش
Slash (musician)	اسلش
Slavery	برده‌داری
Sleep	خواب
Slovakia	اسلواکی
Slovakia	رده:اسلوواکی
Slovenia	اسلوونی
Slovenia	رده:اسلوونی
Smolensk	اسمولنسک
Snake	مار
Snooker	اسنوکر
Snow	برف
Socialism	سوسیالیسم
Socialist Party (France)	حزب سوسیالیست (فرانسه)
Society of Jesus	انجمن عیسی
Sociology	جامعه‌شناسی
Sociology	رده:جامعه‌شناسی
Socrates	سقراط
Sodium	سدیم
Sodium bicarbonate	جوش شیرین
Sodium chloride	سدیم کلرید
Sofia	صوفیه
Softball	سافت‌بال
Soil	خاک
Solanaceae	سیب‌زمینیان
Solar System	سامانه خورشیدی
Solar eclipse	خورشیدگرفتگی
Solar energy	انرژی خورشیدی
Solar wind	باد خورشیدی
Solid	جامد
Solid state	جامد
Solomon	سلیمان
Solomon Islands	جزایر سلیمان
Solon	سولون
Solvent	حلال
Somalia	سومالی
Somalia	رده:سومالی
Song	ترانه
Song of Solomon	غزل غزل‌های سلیمان
Sophia Loren	سوفیا لورن
Sophism	سوفسطائیان
Sophocles	سوفوکل
Soprano	سوپرانو
Sorbonne	دانشگاه سوربن
Sorting algorithm	الگوریتم مرتب‌سازی
Soul	روح
Sound	صدا
South	جنوب
South Africa	رده:آفریقای جنوبی
South America	آمریکای جنوبی
South America	رده:آمریکای جنوبی
South Australia	استرالیای جنوبی
South Carolina	کارولینای جنوبی
South China Sea	دریای جنوبی چین
South Dakota	داکوتای جنوبی
South Korea	کره جنوبی
South Korea	رده:کره جنوبی
Southern Hemisphere	نیم‌کره جنوبی
Soviet Union	اتحاد جماهیر شوروی سوسیالیستی
Soviet Union	رده:اتحاد شوروی
Soybean	سویا
Space	فضا
Space Shuttle	شاتل فضایی
Space station	ایستگاه فضایی
Spacecraft	فضاپیما
Spaghetti	اسپاگتی
Spain	اسپانیا
Spain	رده:اسپانیا
Spam (electronic)	هرزنامه
Spanish Civil War	جنگ داخلی اسپانیا
Spanish people	رده:اهالی اسپانیا
Spanish-American War	جنگ آمریکا و اسپانیا
Sparta	اسپارت
Spear	نیزه
Special relativity	نسبیت خاص
Species	گونه
Spectroscopy	طیف‌نمایی
Speed of light	سرعت نور
Speleology	غارنوردی
Spencer Tracy	اسپنسر تریسی
Sperm Whale	نهنگ عنبر
Sphere	کره (شکل هندسی)
Sphinx	ابوالهول
Spider	عنکبوت
Spin (physics)	اسپین
Sponge	اسفنج دریایی
Sport	ورزش
Spreadsheet	صفحه گسترده
Spring (season)	بهار
Springfield	اسپرینگ‌فیلد
Spyware	جاسوس‌افزار
Square (geometry)	مربع
Squirrel	سنجاب
Sri Lanka	سری لانکا
Sri Lanka	رده:سری‌لانکا
St. Louis	سنت‌لوئیس
Stadium	ورزشگاه
Stainless steel	فولاد ضدزنگ
Standard deviation	انحراف معیار
Stanford University	دانشگاه استنفورد
Stanley Kubrick	استنلی کوبریک
Star	ستاره
Star of David	ستاره داوود
Starch	نشاسته
Starfish	ستاره دریایی
State	ایالت
Staten Island	استاتن آیلند
Statistical mechanics	مکانیک آماری
Statistics	آمار
Statistics	رده:آمار
Statue of Liberty	مجسمه آزادی
Steel	فولاد
Stem cell	سلول‌های بنیادی
Stendhal	استاندال
Stephen Hawking	استیون هاوکینگ
Steven Spielberg	استیون اسپیلبرگ
Sting	استینگ
Stockholm	استکهلم
Stomach	معده
Stone Age	عصر سنگ
Stonehenge	استون‌هنج
Strait	تنگه
Strait of Hormuz	تنگه هرمز
Strategy	راهبرد
Stratigraphy	چینه‌شناسی
Stress (medicine)	تنیدگی (استرس)
String theory	نظریه ریسمان
Strong interaction	نیروی هسته‌ای قوی
Strontium	استرانسیوم
Structuralism	ساختارگرایی
Student	دانش‌آموز
Stuttgart	اشتوتگارت
Sub-Saharan Africa	آفریقای سیاه
Subculture	خرده‌فرهنگ
Sublimation (chemistry)	تصعید
Submarine	زیردریایی
Subset	زیرمجموعه
Subtraction	تفریق
Sudan	سودان
Sudan	رده:سودان
Sudoku	سودوکو
Suez Canal	کانال سوئز
Sufism	صوفی‌گری
Suharto	محمد سوهارتو
Sukarno	احمد سوکارنو
Sulawesi	سولاوسی
Sulfur	گوگرد
Sulfuric acid	اسید سولفوریک
Sultan	سلطان
Sumatra	سوماترا
Sumer	سومریان
Summer	تابستان
Sun	خورشید
Sun Yat-sen	سون یات سن
Sunday	یک‌شنبه
Sundial	ساعت آفتابی
Sunflower	گل آفتابگردان
Sunni Islam	سنی
Supercomputer	ابررایانه
Superconductivity	ابررسانایی
Supernova	ابرنواختر
Supreme Court of the United States	دیوان عالی فدرال ایالات متحده آمریکا
Sura	سوره
Surface tension	کشش سطحی
Suriname	سورینام
Suriname	رده:سورینام
Surrealism	فراواقع‌گرایی
Sushi	سوشی
Suva	سووا
Svalbard	سوالبارد
Swan	قو
Swastika	صلیب شکسته
Swaziland	سوازیلند
Swaziland	رده:سوازیلند
Sweden	سوئد
Sweden	رده:سوئد
Swimming	شنا
Swiss people	رده:اهالی سوئیس
Switzerland	سوئیس
Switzerland	رده:سوئیس
Sword	شمشیر
Sydney	سیدنی
Syllable	هجا
Sylvia Plath	سیلویا پلات
Symbol	نماد
Symphony	سمفونی
Symptom	نشانه‌های بیماری
Synagogue	کنیسه
Synesthesia	هم رنجی
Syntax	نحو
Syria	سوریه
Syria	رده:سوریه
System	سامانه
Systematics	سامانه‌شناسی
T	T
T. E. Lawrence	توماس ادوارد لورنس
T. S. Eliot	توماس استرنز الیوت
Table tennis	تنیس روی میز
Taboo	تابو
Taekwondo	تکواندو
Tagus	رودخانه تاقوس
Tahiti	تاهیتی
Tai chi chuan	تای چی چوان
Taipei	تایپه
Taj Mahal	تاج‌محل
Tajikistan	تاجیکستان
Tajikistan	رده:تاجیکستان
Taliban	طالبان
Tallahassee	تالاهاسی
Tallinn	تالین
Talmud	تلمود
Tampa	تمپا، فلوریدا
Tanakh	تنخ
Tangier	طنجه
Tango (dance)	تانگو
Tank	تانک
Tantalum	تانتالیوم
Tanzania	تانزانیا
Tanzania	رده:تانزانیا
Tashkent	تاشکند
Tasmania	تاسمانی
Tasmanian Devil	شیطان تاسمانی
Taxicab	تاکسی
Taxon	آرایه (زیست‌شناسی)
Taxus baccata	سرخدار
Tbilisi	تفلیس
Tea	چای
Technetium	تکنسیوم
Techno	تکنو
Technology	فناوری
Technology	رده:فناوری
Tegucigalpa	تگوسیگالپا
Tehran	تهران
Tel Aviv	تل‌آویو
Telecommunication	مخابرات
Telephone	تلفن
Telescope	تلسکوپ
Telescopium	تلسکوپ (صورت فلکی)
Television	تلویزیون
