English	Hungarian
Kaaba	Kába szentély
Kabul	Kabul
Kamchatka Peninsula	Kamcsatka
Kampala	Kampala
Kansas	Kansas
Kappa	Kappa
Karachi	Karacsi
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Raimund Popper
Karnataka	Karnátaka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmandu
Katowice	Katowice
Kaunas	Kaunas
Kazakhstan	Kazahsztán
Kazakhstan	Kategória:Kazahsztán
Kazan	Kazány
Kazimir Malevich	Kazimir Szeverinovics Malevics
Kelvin	Kelvin
Kentucky	Kentucky
Kenya	Kenya
Kenya	Kategória:Kenya
Kernel (computer science)	Rendszermag
Ketone	Keton
Keyboard (computing)	Billentyűzet
Keyboard instrument	Billentyűs hangszerek
Khabarovsk	Habarovszk
Kharkiv	Harkov
Khartoum	Kartúm
Khufu	Hufu
Kibbutz	Kibuc
Kidney	Vese
Kiev	Kijev
Kigali	Kigali
Kilogram	Kilogramm
Kimono	Kimonó
Kindergarten	Óvoda
Kinematics	Kinematika
Kinetic energy	Mozgási energia
King Arthur	Artúr király
Kingston	Kingston
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Kategória:Kiribati
Kiss	Csók
Kite	Papírsárkány
Kiwi	Kivifélék
Knight	Lovag
Knossos	Knósszosz
Knot (speed)	Csomó (mértékegység)
Knowledge	Ismeret
Koala	Koala
Kobe	Kóbe
Kolkata	Kolkata
Komodo dragon	Komodói sárkány
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Kategória:Korea
Korean War	Koreai háború
Kosovo	Koszovó
Kosovo	Kategória:Koszovó
Krakatoa	Krakatau
Krishna	Krisna
Krypton	Kripton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kubilaj kán
Kuiper belt	Kuiper-öv
Kuomintang	Kuomintang
Kura River	Kura
Kurdistan	Kategória:Kurdisztán
Kurt Vonnegut	Kurt Vonnegut
Kuwait	Kuvait
Kuwait	Kategória:Kuvait
Kuwait City	Kuvaitváros
Kyoto	Kiotó
Kyrgyzstan	Kirgizisztán
L	L
L'Aquila	L’Aquila
LAMP (software bundle)	LAMP (szoftvercsomag)
La Paz	La Paz
LaTeX	LaTeX
Labour Party (UK)	Munkáspárt (Egyesült Királyság)
Labrador Retriever	Labrador retriever
Lacerta	Gyík csillagkép
Lactic acid	Tejsav
Lactose	Laktóz
Lady Jane Grey	Jane Grey
Lagomorpha	Nyúlalakúak
Lagos	Lagos
Lahore	Lahore
Laissez-faire	Laissez-faire
Lake	Tó
Lake Baikal	Bajkál-tó
Lake Balaton	Balaton
Lake Chad	Csád-tó
Lake Constance	Bodeni-tó
Lake Eyre	Eyre-tó
Lake Geneva	Genfi-tó
Lake Ladoga	Ladoga-tó
Lake Michigan	Michigan-tó
Lake Tanganyika	Tanganyika-tó
Lake Victoria	Viktória-tó (Afrika)
Lambda	Lambda
Lamiaceae	Árvacsalánfélék
Lammergeier	Szakállas saskeselyű
Lamprey	Ingolafélék
Lancelet	Fejgerinchúrosok
Language	Nyelv
Languedoc-Roussillon	Languedoc-Roussillon
Lanthanide	Lantanidák
Lanthanum	Lantán
Laos	Laosz
Laos	Kategória:Laosz
Laptop	Notebook
Larch	Vörösfenyő
Larva	Lárva
Las Vegas	Las Vegas
Lascaux	Lascaux-i barlang
Laser	Lézer
Lathe	Esztergálás
Latin	Latin nyelv
Latin America	Latin-Amerika
Latin alphabet	Latin ábécé
Latvia	Lettország
Latvia	Kategória:Lettország
Lausanne	Lausanne
Lava	Láva
Law	Jog
Law	Kategória:Jog
Law enforcement	Kategória:Büntetés-végrehajtás
Lawrencium	Laurencium
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Ólom
Leaf	Levél (növény)
League of Nations	Népszövetség
Leap year	Szökőév
Lebanon	Libanon
Lebanon	Kategória:Libanon
Leda (mythology)	Léda (mitológia)
Lee Harvey Oswald	Lee Harvey Oswald
Left-handed	Balkezesség
Lego	LEGO
Leicester	Leicester
Leipzig	Lipcse
Lemon	Citrom
Lemon balm	Citromfű
Lena River	Léna (folyó)
Length	Hossz
Lens (optics)	Optikai lencse
Lentil	Lencse
Leo I (emperor)	I. Leó bizánci császár
Leon Trotsky	Lev Davidovics Trockij
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonyid Iljics Brezsnyev
Lepidoptera	Lepkék
Leprosy	Lepra
Lepton	Lepton
Lepus (constellation)	Nyúl csillagkép
Lesbian	Leszbikusság
Lesotho	Lesotho
Lesotho	Kategória:Lesotho
Leto	Létó
Letter (alphabet)	Betű
Leukemia	Leukémia
Lever	Emelő
Leviathan	Tengeri kígyó
Lewis Carroll	Lewis Carroll
Lhasa	Lhásza
Liberalism	Liberalizmus
Liberia	Libéria
Liberia	Kategória:Libéria
Library	Könyvtár
Library science	Könyvtár- és információtudomány
Libreville	Libreville
Libya	Líbia
Libya	Kategória:Líbia
Lichen	Zuzmó
Lie	Hazugság
Liechtenstein	Liechtenstein
Liechtenstein	Kategória:Liechtenstein
Life	Élet
Light	Fény
Light-emitting diode	Fénykibocsátó dióda
Light-year	Fényév
Lighter	Öngyújtó
Lightning	Villám
Liguria	Liguria
Ligurian Sea	Ligur-tenger
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Limestone	Mészkő (kőzet)
Limit (mathematics)	Határérték
Limousin (region)	Limousin
Line (mathematics)	Egyenes
Linear algebra	Lineáris algebra
Linear algebra	Kategória:Lineáris algebra
Linguistics	Nyelvészet
Linguistics	Kategória:Nyelvészet
Linux	Linux
Linux	Kategória:Linux
Linz	Linz
Lion	Oroszlán
Liquid	Folyadék
Lisbon	Lisszabon
Lise Meitner	Lise Meitner
Lisp (programming language)	Lisp
Literature	Irodalom
Literature	Kategória:Irodalom
Lithium	Lítium
Lithography	Litográfia
Lithosphere	Litoszféra
Lithuania	Litvánia
Lithuania	Kategória:Litvánia
Litre	Liter
Little Owl	Kuvik
Liverpool	Liverpool
Livonia	Livónia
Livy	Titus Livius
Lizard	Gyíkok
Ljubljana	Ljubljana
Llama	Láma
Loanword	Jövevényszó
Local area network	Helyi hálózat
Loch Ness Monster	Loch Ness-i szörny
Locomotive	Mozdony
Logarithm	Logaritmus
Logic	Logika
Logic	Kategória:Logika
Logic gate	Logikai kapu
Logistics	Logisztika
Logo	Logó
Loire River	Loire
Lolita	Lolita
Lombardy	Lombardia
London	London
London	Kategória:London
Long-eared Owl	Erdei fülesbagoly
Lope de Vega	Lope de Vega
Lord's Prayer	Miatyánk
Lorraine (region)	Lotaringia
Los Angeles	Los Angeles
Loudspeaker	Hangszóró
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Louis the Pious	I. Lajos francia király
Louis the Stammerer	II. Lajos francia király
Louisiana	Louisiana
Louvre	Louvre
Love	Szerelem
Low German	Alnémet nyelv
Lower Saxony	Alsó-Szászország
Lublin	Lublin
Lucerne	Luzern
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Lucretius	Lucretius Carus
Lucrezia Borgia	Lucrezia Borgia
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Lumen (unit)	Lumen
Lunar eclipse	Holdfogyatkozás
Lund	Lund
Lung	Tüdő
Lungfish	Gőtehalalakúak
Lupus (constellation)	Farkas csillagkép
Lusaka	Lusaka
Lusitania	Lusitania (római provincia)
Lute	Lant
Lutetium	Lutécium
Lutheranism	Evangélikus egyház
Luxembourg	Luxemburg
Luxembourg	Kategória:Luxemburg
Luxembourg (city)	Luxembourg
Luxor	Luxor
Lychee	Licsi
Lydia	Lüdia
Lynx (constellation)	Hiúz csillagkép
Lyon	Lyon
Lyra	Lant csillagkép
Lysergic acid diethylamide	LSD
Lysine	Lizin
Lysosome	Lizoszóma
M	M
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Macau	Makaó
Macedon	Makedónia
Mach number	Mach-szám
Machine code	Gépi kód
Machine gun	Géppuska
Machine translation	Gépi fordítás
Machu Picchu	Machu Picchu
Macroeconomics	Makroökonómia
Macroeconomics	Kategória:Makroökonómia
Madagascar	Madagaszkár
Madagascar	Kategória:Madagaszkár
Madeira	Madeira
Madonna (entertainer)	Madonna (énekesnő)
Madrid	Madrid
Madrid (autonomous community)	Madrid tartomány
Mafia	Maffia
Maghreb	Magreb
Maginot Line	Maginot-vonal
Magma	Magma
Magna Carta	Magna Charta Libertatum
Magnesium	Magnézium
Magnet	Mágnes
Magnetic field	Mágneses mező
Magnetic resonance imaging	MRI
Magnetism	Mágnesség
Magnetite	Magnetit
Maharashtra	Mahárástra
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Mahájána buddhizmus
Maimonides	Maimonidész
Maine	Maine
Mainframe computer	Nagygép
Maize	Kukorica
Major scale	Dúr skála
Majorca	Mallorca
Makalu	Makalu
Malabo	Malabo
Malachite	Malachit
Malacostraca	Magasabbrendű rákok
Malaria	Malária
Malawi	Kategória:Malawi
Malayan Tapir	Ázsiai tapír
Malaysia	Malajzia
Maldives	Maldív-szigetek
Maldives	Kategória:Maldív-szigetek
Mali	Mali
Mali	Kategória:Mali
Mallard	Tőkés réce
Malta	Málta
Malta	Kategória:Málta
Maltese language	Máltai nyelv
Maltose	Maltóz
Malvaceae	Mályvafélék
Mammal	Emlősök
Mammoth	Mamut
Managua	Managua
Manama	Manáma
Manatee	Manátuszfélék
Manchester	Manchester
Mandala	Mandala
Mandarin (linguistics)	Mandarin nyelv
Mandelbrot set	Mandelbrot-halmaz
Manganese	Mangán
Manhattan	Manhattan
Manhattan Project	Manhattan-terv
Manila	Manila
Manipur	Manipur
Mannerism	Manierizmus (művészet)
Mannheim	Mannheim
Mantle (geology)	Földköpeny
Mantra	Mantra
Mantua	Mantova
Mao Zedong	Mao Ce-tung
Maoism	Maoizmus
Map	Térkép
Maple	Juhar
Maputo	Maputo
Marathon	Maraton
Marble	Márvány
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Március
March 17	Március 17
March 19	Március 19
March 2	Március 2
March 25	Március 25
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marcus Junius Brutus	Marcus Iunius Brutus
Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariana Islands	Mariana-szigetek
Marie Antoinette	Mária Antónia francia királyné
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marcus Antonius
Mark Twain	Mark Twain
Market	Piac
Marketing	Marketing
Marketing	Kategória:Marketing
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	De Sade márki
Marrakech	Marrákes
Marriage	Házasság
Mars (disambiguation)	Mars (egyértelműsítő lap)
Marseille	Marseille
Marshall Islands	Marshall-szigetek
Marshall Plan	Marshall-terv
Marsupial	Erszényesek
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navratilova
Martinique	Martinique
Martyr	Vértanú
Marxism	Marxizmus
Mary (mother of Jesus)	Szűz Mária
Mary Magdalene	Mária Magdolna
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maseru	Maseru
Mass	Tömeg
Mass (liturgy)	Szentmise
Mass number	Tömegszám
Massachusetts	Massachusetts
Massachusetts	Kategória:Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbation	Önkielégítés
Mata Hari	Mata Hari
Match	Gyufa
Materialism	Materializmus
Mathematical logic	Matematikai logika
Mathematical logic	Kategória:Matematikai logika
Mathematical proof	Matematikai bizonyítás
Mathematics	Matematika
Mathematics	Kategória:Matematika
Mathematics	Portál:Matematika
Matrix (mathematics)	Mátrix (matematika)
Matter	Anyag
Matterhorn	Matterhorn
Mauna Loa	Mauna Loa
Maundy Thursday	Nagycsütörtök
Maurice Ravel	Maurice Ravel
Mauritania	Mauritánia
Mauritania	Kategória:Mauritánia
Mauritius	Mauritius
Mauritius	Kategória:Mauritius
Max Born	Max Born
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximian	Maximianus
Maxwell's equations	Maxwell-egyenletek
May	Május
May 1	Május 1
May 24	Május 24
Mayor	Polgármester
Mbabane	Mbabane
Measles	Kanyaró
Measure (mathematics)	Mérték (matematika)
Measurement	Mérés
Meat	Hús
Mecca	Mekka
Medea	Médeia
Median	Medián
Medication	Gyógyszer
Medici	Medici-család
Medicine	Orvostudomány
Medicine	Kategória:Orvostudomány
Medina	Medina
Meditation	Meditáció
Mediterranean	Kategória:Földközi-tenger
Mediterranean Sea	Földközi-tenger
Meerkat	Szurikáta
Meiosis	Meiózis
Meister Eckhart	Eckhart mester
Meitnerium	Meitnerium
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanesia	Melanézia
Melpomene	Melpomené
Melting point	Olvadáspont
Meme	mém
Memory	Emlékezet
Memphis	Memphisz
Mendelevium	Mendelévium
Menelaus	Menelaosz (mitológia)
Meningitis	Agyhártyagyulladás
Mensa (constellation)	Táblahegy csillagkép
Mercantilism	Merkantilizmus
Mercenary	Zsoldos
Mercury (element)	Higany
Mercury (planet)	Merkúr
Merovingian	Merovingok
Meryl Streep	Meryl Streep
Mescaline	Meszkalin
Mesolithic	Mezolitikum
Meson	Mezon
Mesopotamia	Mezopotámia
Mesosphere	Mezoszféra
Mesozoic	Mezozoikum
Messiah	Messiás
Messina	Messina
Metabolism	Metabolizmus
Metadata	Metaadat
Metal	Fémek
Metallic bond	Fémes kötés
Metalloid	Félfémek
Metallurgy	Kohászat
Metallurgy	Kategória:Kohászat
Metamorphic rock	Metamorf kőzetek
Metaphor	Metafora
Metaphysics	Metafizika
Metaphysics	Kategória:Metafizika
Metastasis	Áttét
Meteor shower	Meteorraj
Meteorite	Meteorit
Meteoroid	Meteoroid
Meteorology	Kategória:Meteorológia
Meteorology	Meteorológia
Methadone	Metadon
Methamphetamine	Metamfetamin
Methanol	Metanol
Methionine	Metionin
Metis (moon)	Métisz (hold)
Metonymy	Metonímia
Metre	Méter
Metric space	Metrikus tér
Meuse River	Maas
Mexico	Mexikó
Mexico	Kategória:Mexikó
Mexico City	Mexikóváros
Miami	Miami
Michael (archangel)	Szent Mihály
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo	Michelangelo Buonarroti
Michigan	Michigan
Mick Jagger	Mick Jagger
Mickey Mouse	Miki egér
Microeconomics	Mikroökonómia
Microeconomics	Kategória:Mikroökonómia
Micronesia	Mikronézia
Microorganism	Mikroorganizmus
Microphone	Mikrofon
Microscope	Mikroszkóp
Microscopium	Mikroszkóp csillagkép
Microwave	Mikrohullám
Microwave oven	Mikrohullámú sütő
Middle Ages	Középkor
Middle East	Közel-Kelet
Midnight sun	Éjféli nap
Migraine	Migrén
Miguel de Cervantes	Miguel de Cervantes
Mikhail Bakunin	Mihail Alekszandrovics Bakunyin
Mikhail Gorbachev	Mihail Szergejevics Gorbacsov
Milan	Milánó
Mile	Mérföld
Miles Davis	Miles Davis
Military rank	Rendfokozat
Milk	Tej
Milky Way	Tejútrendszer
Millimetre	Milliméter
Million	Millió
Minaret	Minaret
Mineral	Ásvány
Mineral water	Ásványvíz
Mineralogy	Ásványtan
Mineralogy	Kategória:Ásványtan
Minerva	Minerva
Ming Dynasty	Ming-dinasztia
Minimalism	Minimal art
Mining	Bányászat
Minister (government)	Miniszter
Minneapolis	Minneapolis
Minnesota	Minnesota
Minnesota	Kategória:Minnesota
Minoan civilization	Minószi civilizáció
Minor scale	Moll skála
Minos	Minósz
Minotaur	Minótaurosz
Minsk	Minszk
Minute	Perc
Miocene	Miocén
Miracle	Csoda
Mishnah	Misna
Mississippi River	Mississippi (folyó)
Missouri	Missouri
Mitochondrion	Mitokondrium
Mnemosyne	Mnémoszüné
Mobile phone	Mobiltelefon
Modem	Modem
Modest Mussorgsky	Mogyeszt Petrovics Muszorgszkij
Modulation	Moduláció
Mogadishu	Mogadishu
Moirae	Moirák
Moldova	Moldova
Moldova	Kategória:Moldova
Mole (unit)	Mól
Molecular biology	Molekuláris biológia
Molecular biology	Kategória:Molekuláris biológia
Molecule	Molekula
Molise	Molise
Mollusca	Puhatestűek
Molotov cocktail	Molotov-koktél
Molybdenum	Molibdén
Mombasa	Mombasa
Momentum	Impulzus
Monaco	Monaco
Monaco	Kategória:Monaco
Monarchy	Monarchia
Monastery	Kolostor
Monday	Hétfő
Money	Pénz
Mongolia	Mongólia
Mongolia	Kategória:Mongólia
Mongoose	Mongúzfélék
Monica Seles	Szeles Mónika
Monism	Monizmus
Monocotyledon	Egyszikűek
Monopoly	Monopólium
Monopoly (game)	Monopoly
Monosodium glutamate	Nátrium-glutamát
Monotheism	Egyistenhit
Monotreme	Kloakások
Monrovia	Monrovia
Mons	Mons
Mont Blanc	Mont Blanc
Montana	Montana
Monte Carlo	Monte Carlo
Montenegro	Montenegró
Montenegro	Kategória:Montenegró
Montevideo	Montevideo
Montgomery	Montgomery (Alabama)
Month	Hónap
Montpelier	Montpelier (Vermont)
Montreal	Montreal
Montserrat	Montserrat
Moon	Hold
Moose	Jávorszarvas
Moravia	Morvaország
Morocco	Marokkó
Morocco	Kategória:Marokkó
Morpheme	Morféma
Morphine	Morfin
Morphology (linguistics)	Morfológia (nyelvtan)
Morse code	Morzekód
Mortar (weapon)	Aknavető
Moscow	Moszkva
Moscow	Kategória:Moszkva
Moses	Mózes
Moshe Dayan	Móse Dajan
Mosque	Mecset
Moss	Lombosmohák
Mossad	Moszad
Mosul	Moszul
Motet	Motetta
Mother Teresa	Kalkuttai Teréz anya
Mother's Day	Anyák napja
Motorcycle	Motorkerékpár
Motto	Mottó
Mount Ararat	Ararát
Mount Athos	Athosz-hegy
Mount Etna	Etna
Mount Everest	Mount Everest
Mount Fuji	Fudzsi
Mount Kilimanjaro	Kilimandzsáró
Mount McKinley	Mount McKinley
Mount Olympus	Olümposz
Mount Rushmore	Rushmore-hegy
Mount Vesuvius	Vezúv
Mountain	Hegy
Mouse (computing)	Egér (számítástechnika)
Mozambique	Mozambik
Mozambique	Kategória:Mozambik
Muezzin	Müezzin
Muhammad	Mohamed próféta
Mulberry	Eperfa
Mule	Öszvér
Multimedia	Multimédia
Multiple sclerosis	Sclerosis multiplex
Mumbai	Mumbai
Munich	München
Municipality	Község
Muon	Müon
Murmansk	Murmanszk
Murray Gell-Mann	Murray Gell-Mann
Muscat	Maszkat
Muscle	Izom
Muse	Múzsák
Museum	Múzeum
Music	Zene
Music	Kategória:Zene
Musical Instrument Digital Interface	MIDI
Musical instrument	Hangszer
Musical scale	Hangsor
Musket	Muskéta
Mustelidae	Menyétfélék
Mutation	Mutáció
Mute Swan	Bütykös hattyú
Myanmar	Kategória:Mianmar
Mycenae	Mükéné
Mycology	Mikológia
Myocardial infarction	Szívinfarktus
Myth	Mítosz
Mythology	Mitológia
Mythology	Kategória:Mitológia
N	N
N'Djamena	N’Djamena
NATO	Észak-atlanti Szerződés Szervezete
Nadine Gordimer	Nadine Gordimer
Nagasaki	Nagaszaki
Nahuatl	Azték nyelv
Nail (anatomy)	Köröm
Nairobi	Nairobi
Namibia	Namíbia
Namibia	Kategória:Namíbia
Namur (city)	Namur
Nancy	Nancy
Nanga Parbat	Nanga Parbat
Nanjing	Nanjing
Nanotechnology	Nanotechnológia
Naples	Nápoly
Napoleonic Wars	Napóleoni háborúk
Narcissus (mythology)	Narkisszosz
Nashville	Nashville
Nassau	Nassau (Bahama-szigetek)
Nathaniel Hawthorne	Nathaniel Hawthorne
Nation	Nemzet
National anthem	Nemzeti himnusz
National park	Nemzeti park
Nationalism	Nacionalizmus
Natural gas	Földgáz
Natural number	Természetes számok
Natural science	Természettudomány
Natural selection	Természetes szelekció
Nature	Kategória:Természet
Naturism	Naturizmus
Nauru	Nauru
Nauru	Kategória:Nauru
Nazi Germany	Harmadik Birodalom
Nazi Germany	Kategória:Harmadik Birodalom
Nazi Party	Nemzetiszocialista Német Munkáspárt
Neanderthal	Neandervölgyi ember
Nebraska	Nebraska
Nebuchadrezzar II	II. Nabú-kudurri-uszur
Nebula	Csillagköd
Neckar	Neckar
Nefertiti	Nofertiti
Negev	Negev-sivatag
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Nemean Lion	Nemeai oroszlán
Nemesis (mythology)	Nemeszisz
Neodymium	Neodímium
Neolithic	Neolitikum
Neologism	Neologizmus
Neon	Neon
Neoplatonism	Neoplatonizmus
Nepal	Nepál
Nephthys	Nepthüsz
Neptune	Neptunusz
Neptunium	Neptúnium
Nereid (moon)	Nereida (hold)
Nero	Nero
Nerva	Nerva
Nervous system	Kategória:Idegrendszer
Netherlands	Hollandia
Netherlands	Kategória:Hollandia
Netherlands Antilles	Holland Antillák
Network topology	Hálózati topológia
Neurology	Neurológia
Neurology	Kategória:Neurológia
Neuron	Idegsejt
Neurotransmitter	Ingerületátvivő anyagok
Neutrino	Neutrínó
Neutron	Neutron
Neutron star	Neutroncsillag
Neva River	Néva
Nevada	Nevada
Nevada	Kategória:Nevada
New Caledonia	Új-Kaledónia
New England	New England
New Hampshire	New Hampshire
New Jersey	New Jersey
New Jersey	Kategória:New Jersey
New Mexico	Új-Mexikó
New Orleans	New Orleans
New South Wales	Új-Dél-Wales
New Testament	Újszövetség
New World	Újvilág
New York	New York (állam)
New York (disambiguation)	New York (egyértelműsítő lap)
New York City	New York
New York City	Kategória:New York
New York Stock Exchange	New York Stock Exchange
New Zealand	Új-Zéland
Newfoundland (island)	Újfundland
Newport	Newport
Newton	Newton (mértékegység)
Niacin	Niacin
Niagara Falls	Niagara-vízesés
Niamey	Niamey
Nicaragua	Nicaragua
Nicaragua	Kategória:Nicaragua
Nice	Nizza
Nicene Creed	Nicea-konstantinápolyi hitvallás
Nicholas	Petrović Njegoš
Nickel	Nikkel
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nikolausz Kopernikusz
Nicosia	Nicosia
Nicotine	Nikotin
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Niger	Kategória:Niger
Niger River	Niger (folyó)
Nigeria	Nigéria
Nigeria	Kategória:Nigéria
Nightingale	Csalogány
Nihilism	Nihilizmus
Nike	Nike, Inc.
Nike (mythology)	Niké
Nikita Khrushchev	Nyikita Szergejevics Hruscsov
Nikola Tesla	Nikola Tesla
Nile	Nílus
Nile crocodile	Nílusi krokodil
Nineveh	Ninive
Niobium	Nióbium
Nitric acid	Salétromsav
Nitrogen	Nitrogén
Nitroglycerin	Glicerin-trinitrát
Nix (moon)	Nix (hold)
Noam Chomsky	Noam Chomsky
Nobel Prize	Nobel-díj
Nobel Prize	Kategória:Nobel-díj
Nobelium	Nobélium
Noble gas	Nemesgáz
Nomad	Vándorlás
Nominative case	Alanyeset
Nonmetal	Nemfémek
Norfolk Island	Norfolk-sziget
Norma (constellation)	Szögmérő csillagkép
Normal distribution	Normális eloszlás
Normandy	Normandia
Norse mythology	Skandináv mitológia
Norse mythology	Kategória:Skandináv mitológia
North	Észak
North Africa	Észak-Afrika
North America	Észak-Amerika
North Carolina	Észak-Karolina
North Dakota	Észak-Dakota
North Korea	Észak-Korea
North Korea	Kategória:Észak-Korea
North Pole	Északi-sark
North Sea	Északi-tenger
Northern Europe	Észak-Európa
Northern Ireland	Észak-Írország
Northern Ireland	Kategória:Észak-Írország
Northern Mariana Islands	Északi-Mariana-szigetek
Northern pike	Csuka
Norway	Norvégia
Norway	Kategória:Norvégia
Norwegian Sea	Norvég-tenger
Norwegian krone	Norvég korona
Nose	Orr
Nostradamus	Nostradamus
Nouakchott	Nouakchott
Noun	Főnév
Novaya Zemlya	Novaja Zemlja
Novel	Regény
November	November
November 1	November 1
November 11	November 11
November 2	November 2
November 5	November 5
Novial	Novial nyelv
Novosibirsk	Novoszibirszk
Nu (letter)	Nű
Nuclear fission	Maghasadás
Nuclear fusion	Magfúzió
Nuclear physics	Magfizika
Nuclear physics	Kategória:Magfizika
Nuclear power	Atomenergia
Nuclear weapon	Nukleáris fegyver
Nucleon	Nukleon
Nucleotide	Nukleotid
Number	Szám
Numbers	Kategória:Számok
Numidia	Numidia
Numismatics	Numizmatika
Nuremberg	Nürnberg
Nutmeg	Szerecsendió
Nymph	Nimfák
Nymphaeaceae	Tündérrózsafélék
O	O
OPEC	OPEC
Oak	Tölgy
Oat	Zab
Oaxaca	Oaxaca
Ob River	Ob
Obelisk	Obeliszk
Obesity	Elhízás
Object-oriented programming	Objektumorientált programozás
Oboe	Oboa
Obsidian	Obszidián
Occam's razor	Occam borotvája
Ocean	Óceán
Ocean current	Tengeráramlat
Oceania	Ausztrália és Óceánia
Oceania	Kategória:Ausztrália és Óceánia
Oceanid	Ókeaniszok
Oceanus	Ókeanosz
Octal	Nyolcas számrendszer
Octans	Oktáns csillagkép
Octave	Oktáv
October	Október
October 12	Október 12
October 24	Október 24
October Revolution	Bolsevik hatalomátvétel Szentpétervárott
Ode	Óda
Oder River	Odera
Odessa	Odessza
Odin	Odin
Odonata	Szitakötők
Odysseus	Odüsszeusz
Odyssey	Odüsszeia
Oedipus	Oidipusz
Ohio	Ohio
Ohm's law	Ohm-törvény
Oil (disambiguation)	Olaj
Oil painting	Olajfesték
Okapi	Okapi
Oklahoma	Oklahoma
Oktoberfest	Oktoberfest
Old Church Slavonic	Óegyházi szláv nyelv
Old Testament	Ószövetség
Oligocene	Oligocén
Oligopoly	Oligopólium
Olive oil	Olívaolaj
Oliver Cromwell	Oliver Cromwell
Oliver Stone	Oliver Stone
Olivine	Olivin
Olympia	Olympia (Washington)
Olympic Games	Olimpiai játékok
Olympics	Kategória:Olimpia
Oman	Omán
Oman	Kategória:Omán
Omega	Ómega
Omicron	Omikron
Omsk	Omszk
Oncology	Kategória:Onkológia
Onion	Vöröshagyma
Onomastics	Névtan
Ontology	Ontológia
Oort cloud	Oort-felhő
Opal	Opál
Opel	Opel
Opera	Opera (színmű)
Opera (Internet suite)	Opera (webböngésző)
Operating system	Operációs rendszer
Operetta	Operett
Ophiuchus	Kígyótartó csillagkép
Opium	Ópium
Optical fiber	Optikai szál
Optics	Optika
Oral sex	Orális szex
Orange (fruit)	Narancs
Orangutan	Orangután
Oratorio	Oratórium
Orbit	Pálya (csillagászat)
Orca	Kardszárnyú delfin
Orchestra	Zenekar
Orchidaceae	Kosborfélék
Order (biology)	Rend (rendszertan)
Order of Saint Benedict	Bencések
Ordovician	Ordovícium
Oregano	Szurokfű
Oregon	Oregon
Orestes (mythology)	Oresztész
Organ (anatomy)	Szerv (biológia)
Organ (music)	Orgona (hangszer)
Organelle	Sejtszervecske
Organic chemistry	Szerves kémia
Organic chemistry	Kategória:Szerves kémia
Organism	Élőlény
Organization of American States	Amerikai Államok Szervezete
Orgasm	Orgazmus
Origen	Órigenész
Orion (constellation)	Orion csillagkép
Orissa	Orisza
Orson Welles	Orson Welles
Orthography	Helyesírás
Osaka	Ószaka
Osama bin Laden	Oszama bin Laden
Oscar Wilde	Oscar Wilde
Osiris	Ozirisz
Oslo	Oslo
Osman I	I. Oszmán
Osmium	Ozmium
Osteichthyes	Csontos halak
