Vietnamese	English
Khoa học tự nhiên	Natural science
Tự nhiên	Nature
Thể loại:Tự nhiên	Nature
Nauru	Nauru
Hải lý	Nautical mile
Thể loại:Định hướng	Navigation
Đức Quốc xã	Nazi Germany
Thể loại:Đức Quốc Xã	Nazi Germany
Đảng Công nhân Đức Quốc gia Xã hội chủ nghĩa	Nazi Party
Nebraska	Nebraska
Nebuchadrezzar II	Nebuchadrezzar II
Cà vạt	Necktie
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Neon	Neon
Nepal	Nepal
Sao Hải Vương	Neptune
Neptuni	Neptunium
Nero	Nero
Nerva	Nerva
Thể loại:Hệ thần kinh	Nervous system
Hà Lan	Netherlands
Thể loại:Hà Lan	Netherlands
Antille thuộc Hà Lan	Netherlands Antilles
Tô pô mạng	Network topology
Thể loại:Thần kinh học	Neurology
Neutrino	Neutrino
Neutron	Neutron
Sao neutron	Neutron star
Sông Neva	Neva River
Nevada	Nevada
New Brunswick	New Brunswick
Nouvelle-Calédonie	New Caledonia
New Delhi	New Delhi
New England	New England
New Guinea	New Guinea
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	New Mexico
New Orleans, Louisiana	New Orleans
New South Wales	New South Wales
Tân Ước	New Testament
Tân Thế giới	New World
Tiểu bang New York	New York
New York (định hướng)	New York (disambiguation)
Thành phố New York	New York City
Thể loại:Thành phố New York	New York City
Sở giao dịch chứng khoán New York	New York Stock Exchange
New Zealand	New Zealand
Thể loại:New Zealand	New Zealand
Newfoundland (đảo)	Newfoundland (island)
Newfoundland và Labrador	Newfoundland and Labrador
Newport	Newport
Newton	Newton
Thác Niagara	Niagara Falls
Niamey	Niamey
Nicaragua	Nicaragua
Nice	Nice
Petrović Njegoš	Nicholas
Niken	Nickel
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nicolaus Copernicus
Nicotin	Nicotine
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Sông Niger	Niger River
Nigeria	Nigeria
Nikita Sergeyevich Khrushchyov	Nikita Khrushchev
Nikola Tesla	Nikola Tesla
Sông Nin	Nile
Cá sấu sông Nin	Nile crocodile
Ninja	Ninja
Niobi	Niobium
Niết-bàn	Nirvana
Axit nitric	Nitric acid
Nitơ	Nitrogen
Nitroglycerin	Nitroglycerin
Noam Chomsky	Noam Chomsky
Giải thưởng Nobel	Nobel Prize
Thể loại:Giải Nobel	Nobel Prize
Phong tước	Nobility
Thể loại:Quý tộc	Nobility
Khí hiếm	Noble gas
Phi kim	Nonmetal
Đảo Norfolk	Norfolk Island
Củ Xích	Norma (constellation)
Phân bố chuẩn	Normal distribution
Norn	Norn
Thần thoại Bắc Âu	Norse mythology
Thể loại:Thần thoại Bắc Âu	Norse mythology
Hướng Bắc	North
Bắc Phi	North Africa
Bắc Mỹ	North America
Thể loại:Bắc Mỹ	North America
Bắc Carolina	North Carolina
Bắc Dakota	North Dakota
Cộng hòa Dân chủ Nhân dân Triều Tiên	North Korea
Thể loại:Bắc Triều Tiên	North Korea
Bắc Cực	North Pole
Bắc Hải (châu Âu)	North Sea
Sao Bắc cực	North Star
Bắc Âu	Northern Europe
Bắc bán cầu	Northern Hemisphere
Bắc Ireland	Northern Ireland
Quần đảo Bắc Mariana	Northern Mariana Islands
Lãnh thổ Bắc Úc	Northern Territory
Northwest Territories	Northwest Territories
Na Uy	Norway
Biển Na Uy	Norwegian Sea
Nostradamus	Nostradamus
Nouakchott	Nouakchott
Danh từ	Noun
Nova Scotia	Nova Scotia
Tiểu thuyết	Novel
Tháng mười một	November
1 tháng 11	November 1
11 tháng 11	November 11
2 tháng 11	November 2
5 tháng 11	November 5
Phản ứng phân hạch hạt nhân	Nuclear fission
Phản ứng tổng hợp hạt nhân	Nuclear fusion
Vật lý hạt nhân	Nuclear physics
Vũ khí hạt nhân	Nuclear weapon
Axít nucleic	Nucleic acid
Nucleotide	Nucleotide
Số (toán học)	Number
Nunavut	Nunavut
Nürnberg	Nuremberg
Thể loại:Dinh dưỡng	Nutrition
Họ Súng	Nymphaeaceae
O	O
Tổ chức các nước xuất khẩu dầu lửa	OPEC
Oakland, California	Oakland
Ốc đảo	Oasis
Sông Obi	Ob River
Béo phì	Obesity
Lập trình hướng đối tượng	Object-oriented programming
Ô-boa	Oboe
Đại dương	Ocean
Hải lưu	Ocean current
Châu Đại Dương	Oceania
Thể loại:Châu Đại Dương	Oceania
Hệ bát phân	Octal
Nam Cực (chòm sao)	Octans
Tháng mười	October
12 tháng 10	October 12
24 tháng 10	October 24
Bạch tuộc	Octopus
Ode	Ode
Oder	Oder River
Odessa	Odessa
Odin	Odin
Odyssey	Odyssey
Oedipus (thần thoại)	Oedipus
Việt vị	Offside (football)
Ohio	Ohio
Thể loại:Ohio	Ohio
Ohm	Ohm
Định luật Ohm	Ohm's law
Sơn dầu	Oil painting
Oklahoma	Oklahoma
Lễ hội tháng Mười	Oktoberfest
Cựu Ước	Old Testament
Oligarchy	Oligarchy
Thế Oligocen	Oligocene
Oliver Stone	Oliver Stone
Olympia, Hy Lạp	Olympia
Thế vận hội	Olympic Games
Oman	Oman
Thể loại:Ung thư học	Oncology
Hành tây	Onion
Ontario	Ontario
Bản thể luận	Ontology
Đám mây Oort	Oort cloud
Đá opal	Opal
Opera	Opera
Opera (trình duyệt)	Opera (Internet suite)
Hệ điều hành	Operating system
Xà Phu	Ophiuchus
Ảo ảnh (quang học)	Optical illusion
Quang học	Optics
Thể loại:Quang học	Optics
Tối ưu hóa (toán học)	Optimization (mathematics)
Giao hợp bằng miệng	Oral sex
Da cam	Orange (colour)
Cam	Orange (fruit)
Quỹ đạo	Orbit
Cá hổ kình	Orca
Dàn nhạc giao hưởng	Orchestra
Họ Phong lan	Orchidaceae
Bộ (sinh học)	Order (biology)
Kỷ Ordovic	Ordovician
Oregon	Oregon
Thể loại:Oregon	Oregon
Bào quan	Organelle
Hóa hữu cơ	Organic chemistry
Thể loại:Hóa hữu cơ	Organic chemistry
Hợp chất hữu cơ	Organic compound
Sinh vật	Organism
Cực khoái	Orgasm
Origami	Origami
Lạp Hộ	Orion (constellation)
Orissa	Orissa
Orpheus	Orpheus
Orson Welles	Orson Welles
Ōsaka	Osaka
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Dao động	Oscillation
Oslo	Oslo
Siêu lớp Cá xương	Osteichthyes
Đà điểu	Ostrich
Ottawa	Ottawa
Otto I, Hoàng đế La Mã thần thánh	Otto I
Otto von Bismarck	Otto von Bismarck
Đế quốc Ottoman	Ottoman Empire
Thể loại:Đế quốc Ottoman	Ottoman Empire
Ounce	Ounce
Oviedo	Oviedo
Oxford	Oxford
Ôxít	Oxide
Ôxy	Oxygen
Ôzôn	Ozone
Lớp ôzôn	Ozone layer
P	P
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Thái Bình Dương	Pacific Ocean
Thể loại:Thái Bình Dương	Pacific Ocean
Padova	Padua
Thể loại:Hội họa	Painting
Pakistan	Pakistan
Thể loại:Pakistan	Pakistan
Lâu đài Versailles	Palace of Versailles
Palau	Palau
Thế Paleocen	Paleocene
Thời đại đồ đá cũ	Paleolithic
Cổ sinh vật học	Paleontology
Đại Cổ sinh	Paleozoic
Palestine	Palestine
Thể loại:Palestine	Palestine
Tổ chức Giải phóng Palestine	Palestine Liberation Organization
Tiếng Pali	Pali
Paladi	Palladium
Chúa nhật Lễ Lá	Palm Sunday
Panama	Panama
Thể loại:Panama	Panama
Kênh đào Panama	Panama Canal
Thành phố Panama	Panama City
Tụy	Pancreas
Đại dịch	Pandemic
Pangaea	Pangaea
Chi Báo	Panthera
Papua New Guinea	Papua New Guinea
Parabol	Parabola
Mẫu hình	Paradigm
Dù lượn	Paragliding
Paraguay	Paraguay
Thị sai	Parallax
Hình bình hành	Parallelogram
Paris	Paris
Thể loại:Paris	Paris
Paris (thần thoại)	Paris (mythology)
Parsec	Parsec
Mùi tây	Parsley
Đền Parthenon	Parthenon
Vật lý hạt	Particle physics
Thể loại:Vật lý hạt	Particle physics
Pascal (định hướng)	Pascal
Pascal (ngôn ngữ lập trình)	Pascal (programming language)
Pascal	Pascal (unit)
Bộ Sẻ	Passerine
Lễ Vượt Qua	Passover
Hộ chiếu	Passport
Mật khẩu truy nhập	Password
Bệnh học thực vật	Pathology
Patras	Patras
Patrick White	Patrick White
Chủ nghĩa yêu nước	Patriotism
Paul Johann Ludwig von Heyse	Paul Johann Ludwig von Heyse
Paul Klee	Paul Klee
Paul McCartney	Paul McCartney
Paul Verlaine	Paul Verlaine
Sứ đồ Phao-lô	Paul the Apostle
Paul von Hindenburg	Paul von Hindenburg
Nguyên lý loại trừ	Pauli exclusion principle
Khổng Tước	Pavo (constellation)
Pays de la Loire	Pays de la Loire
Hòa bình	Peace
Đào (cây)	Peach
Công (chim)	Peafowl
Lạc	Peanut
Ngọc trai	Pearl
Trân Châu Cảng	Pearl Harbor
Phương pháp giáo dục	Pedagogy
Thể loại:Phương pháp giáo dục	Pedagogy
Nhi khoa	Pediatrics
Ái nhi	Pedophilia
Phi Mã	Pegasus (constellation)
Bút chì	Pencil
Chim cánh cụt	Penguin
Bán đảo	Peninsula
Pennsylvania	Pennsylvania
Thể loại:Pennsylvania	Pennsylvania
Lễ Thất Tuần	Pentecost
Phong trào Ngũ Tuần	Pentecostalism
Thể loại:Nhân vật	People
Cộng hòa Nhân dân Trung Hoa	People's Republic of China
Tri giác	Perception
Percy Bysshe Shelley	Percy Bysshe Shelley
Perestroika	Perestroika
Nước hoa	Perfume
Chu kỳ tuần hoàn	Period (periodic table)
Bảng tuần hoàn	Periodic table
Pecmi	Perm
Kỷ Permi	Permian
Hoán vị	Permutation
Động cơ vĩnh cửu	Perpetual motion
Anh Tiên	Perseus (constellation)
Đế quốc Ba Tư	Persian Empire
Vịnh Ba Tư	Persian Gulf
Thiết bị kỹ thuật số hỗ trợ cá nhân	Personal digital assistant
Perth, Tây Úc	Perth
Peru	Peru
Thể loại:Peru	Peru
Thuốc trừ dịch hại	Pesticide
Peter Paul Rubens	Peter Paul Rubens
Francesco Petrarca	Petrarch
Dầu mỏ	Petroleum
Liên đại Hiển sinh	Phanerozoic
Pharaoh	Pharaoh
Dược lý học	Pharmacology
Thể loại:Dược lý học	Pharmacology
Phenol	Phenol
Philadelphia, Pennsylvania	Philadelphia
Tem học	Philately
Thể loại:Tem học	Philately
Philip II của Macedonia	Philip II of Macedon
Philipp Lenard	Philipp Lenard
Philippines	Philippines
Thể loại:Philippines	Philippines
Văn hiến học	Philology
Hòn đá triết lí	Philosopher's stone
Triết học	Philosophy
Thể loại:Triết học	Philosophy
Chủ đề:Triết học	Philosophy
Phnôm Pênh	Phnom Penh
Phobos (vệ tinh)	Phobos (moon)
Phoenix, Arizona	Phoenix
Phượng Hoàng (chòm sao)	Phoenix (constellation)
Phoenix (tàu vũ trụ)	Phoenix (spacecraft)
Axít phốtphoric	Phosphoric acid
Phốtpho	Phosphorus
Nhiếp ảnh	Photography
Thể loại:Nhiếp ảnh	Photography
Photon	Photon
Quang hợp	Photosynthesis
Hóa lý	Physical chemistry
Thể loại:Hóa lý	Physical chemistry
Thầy thuốc	Physician
Vật lý học	Physics
Thể loại:Vật lý học	Physics
Chủ đề:Vật lý	Physics
Sinh lý học	Physiology
Thể loại:Sinh lý học	Physiology
Pi	Pi
Dương cầm	Piano
Picardie	Picardie
Hội Giá	Pictor
Pidgin	Pidgin (software)
Pierre Curie	Pierre Curie
Pierre de Fermat	Pierre de Fermat
Pieter Zeeman	Pieter Zeeman
Họ Thông	Pinaceae
Ping	Ping
Hồng (màu)	Pink
Cướp biển	Piracy
Pizza	Pizza
Mặt phẳng	Plane (mathematics)
Hành tinh	Planet
Sinh vật phù du	Plankton
Thực vật	Plant
Plasma	Plasma (physics)
Plasmid	Plasmid
Chất dẻo	Plastic
Lạp thể	Plastid
Mảng kiến tạo	Plate tectonics
Bạch kim	Platinum
Platon	Plato
Thú mỏ vịt	Platypus
Playboy	Playboy
Tua Rua	Pleiades (star cluster)
Thế Pleistocen	Pleistocene
Thế Pliocen	Pliocene
Mận	Plum
Sao Diêm Vương	Pluto
Viêm phổi	Pneumonia
Họ Hòa thảo	Poaceae
Thơ	Poetry
Thể loại:Thơ	Poetry
Điểm (hình học)	Point (geometry)
Chất độc	Poison
Poitiers	Poitiers
Poitou-Charentes	Poitou-Charentes
Poker	Poker
Ba Lan	Poland
Thể loại:Ba Lan	Poland
Gấu trắng Bắc Cực	Polar bear
Polaris	Polaris
Cảnh sát	Police
Bệnh viêm tủy xám	Poliomyelitis
Chính trị học	Political science
Chính trị	Politics
Thể loại:Chính trị	Politics
Thụ phấn	Pollination
Ô nhiễm môi trường	Pollution
Polonium	Polonium
Polyetylen	Polyethylene
Đa giác	Polygon
Polyme	Polymer
Đa thức	Polynomial
Polyvinyl clorua	Polyvinyl chloride
Bưởi	Pomelo
Pompeii	Pompeii
Pompey	Pompey
Nhạc Pop	Pop music
Giáo hoàng	Pope
Dương (thực vật)	Poplar
Cảng	Port
Port Louis	Port Louis
Port Moresby	Port Moresby
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland, Oregon	Portland
Portland	Portland
Portsmouth	Portsmouth
Bồ Đào Nha	Portugal
Poseidon (thần thoại)	Poseidon
Positron	Positron
Tem thư	Postage stamp
Mã bưu chính	Postal code
Kali	Potassium
Khoai tây	Potato
Thế năng	Potential energy
Potsdam	Potsdam
Bảng Anh	Pound sterling
Nghèo	Poverty
Công suất	Power (physics)
Praha	Prague
Thể loại:Praha	Prague
Tiến động	Precession
Giáng thủy	Precipitation (meteorology)
Thời tiền sử	Prehistory
Thể loại:Tiền sử	Prehistory
Tổng thống	President
Tổng thống Hoa Kỳ	President of the United States
Áp suất	Pressure
Giá cả	Price
Linh trưởng	Primate
Thể loại:Bộ Linh trưởng	Primates
Kinh tuyến gốc	Prime Meridian
Thủ tướng	Prime minister
Số nguyên tố	Prime number
Đảo Hoàng tử Edward	Prince Edward Island
Đại học Princeton	Princeton University
Thuyết tương đối	Principle of relativity
In ấn	Printing
Lăng kính	Prism (optics)
Nhà tù	Prison
Tù binh	Prisoner of war
Giải Goncourt	Prix Goncourt
Lý thuyết xác suất	Probability theory
Thể loại:Lí thuyết xác suất	Probability theory
Giáo sư	Professor
Lợi nhuận	Profit
Lập trình viên	Programmer
Ngôn ngữ lập trình	Programming language
Dự án	Project
Sinh vật nhân sơ	Prokaryote
Prôpan	Propane
Protein	Protein
Liên đại Nguyên Sinh	Proterozoic
Cải cách Kháng Cách	Protestant Reformation
Tin Lành	Protestantism
Giao thức	Protocol
Proton	Proton
Động vật nguyên sinh	Protozoa
Chi Mận mơ	Prunus
Vương quốc Phổ	Prussia
Thể loại:Giả khoa học	Pseudoscience
Giả khoa học	Pseudoscience
Bệnh vẩy nến	Psoriasis
Thể loại:Tâm thần học	Psychiatry
Phân tâm học	Psychoanalysis
Tâm lý học	Psychology
Thể loại:Tâm lý học	Psychology
Tâm lý trị liệu	Psychotherapy
Nhà Ptolemy	Ptolemaic dynasty
Claudius Ptolemaeus	Ptolemy
Tuổi dậy thì	Puberty
Phạm vi công cộng	Public domain
Puerto Rico	Puerto Rico
Pulsar	Pulsar
Máy bơm	Pump
Thuyền Vĩ	Puppis
Bình Nhưỡng	Pyongyang
Pyrénées	Pyrenees
Pythagoras	Pythagoras
Python (ngôn ngữ lập trình)	Python (programming language)
La Bàn	Pyxis
Q	Q
Qatar	Qatar
Nhà Tần	Qin Dynasty
Nhà Thanh	Qing Dynasty
Phương trình bậc hai	Quadratic equation
Tứ giác	Quadrilateral
Cơ học lượng tử	Quantum mechanics
Category:Cơ học lượng tử	Quantum mechanics
Quark	Quark
Thạch anh	Quartz
Quasar	Quasar
Phân đại Đệ tứ	Quaternary
Québec	Quebec
Thành phố Québec	Quebec City
Queensland	Queensland
Dấu chấm hỏi	Question mark
Quito	Quito
R	R
RAF	RAF (disambiguation)
RAID	RAID
RNA	RNA
Thần Ra	Ra
Rabat	Rabat
Rabindranath Tagore	Rabindranath Tagore
Rachel Carson	Rachel Carson
Phân biệt chủng tộc	Racism
Radar	Radar
Thể loại:Truyền thanh	Radio
Bán kính	Radius
Radon	Radon
Mưa	Rain
Cầu vồng	Rainbow
Rainer Maria Rilke	Rainer Maria Rilke
Ralph Waldo Emerson	Ralph Waldo Emerson
Ramadan	Ramadan
Ramayana	Ramayana
Ramesses II	Ramesses II
RAM	Random access memory
Họ Mao lương	Ranunculaceae
Hiếp dâm	Rape
Raffaello	Raphael
Thể loại:Tàu điện ngầm	Rapid transit
Số hữu tỉ	Rational number
Bộ Đà điểu	Ratite
Bộ nhớ chỉ đọc	Read-only memory
Số thực	Real number
Suy thoái kinh tế	Recession
Recife	Recife
Hình chữ nhật	Rectangle
Mạch chỉnh lưu	Rectifier
Đệ qui	Recursion
Đỏ	Red
Phái Hồng quân	Red Army Faction
Biển Đỏ	Red Sea
Tảo đỏ	Red algae
Hồng cầu	Red blood cell
Sao lùn đỏ	Red dwarf
Sao khổng lồ đỏ	Red giant
Dịch chuyển đỏ	Redshift
Dịch chuyển đỏ	Redshift (disambiguation)
RISC	Reduced instruction set computer
Trưng cầu dân ý	Referendum
Khúc xạ	Refraction
Chiết suất	Refractive index
Trung đoàn	Regiment
Reims	Reims
Đầu thai	Reincarnation
Quan hệ (toán học)	Relation (mathematics)
Thể loại:Thuyết tương đối	Relativity
Tôn giáo	Religion
Thể loại:Tôn giáo	Religion
Rembrandt	Rembrandt
Phục Hưng	Renaissance
Thể loại:Phục Hưng	Renaissance
Động vật bò sát	Reptile
Cộng hòa	Republic
Trung Hoa Dân Quốc	Republic of China
Cộng hòa Ireland	Republic of Ireland
Thể loại:Ireland	Republic of Ireland
Cộng hoà Congo	Republic of the Congo
Đảng Cộng hòa Hoa Kỳ	Republican Party (United States)
Võng Cổ	Reticulum
Cách mạng	Revolution
Rhea (thần thoại)	Rhea (mythology)
Rhine	Rhine
Họ Tê giác	Rhinoceros
Rhode Island	Rhode Island
Rhodi	Rhodium
Hình thoi	Rhombus
Rhythm and blues	Rhythm and blues
Ribosome	Ribosome
Lúa	Rice
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Riga	Riga
Xích kinh	Right ascension
Vành	Ring (mathematics)
Ringo Starr	Ringo Starr
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (bang)	Rio de Janeiro (state)
Sông	River
Sông Thames	River Thames
Riyadh	Riyadh
Đường giao thông	Road
Roald Amundsen	Roald Amundsen
Robert Millikan	Robert Andrews Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert E. Lee
Robert Koch	Robert Koch
Robert Oppenheimer	Robert Oppenheimer
Robert Schumann	Robert Schumann
Người máy	Robot
Đá (địa chất)	Rock (geology)
Thể loại:Nhạc rock	Rock music
Rốc két	Rocket
Dãy núi Rocky	Rocky Mountains
Kiến trúc Rococo	Rococo
Bộ Gặm nhấm	Rodent
Roger Bacon	Roger Bacon
Giáo hội Công giáo Rôma	Roman Catholic Church
Đế quốc La Mã	Roman Empire
Cộng hòa La Mã	Roman Republic
Lịch La Mã	Roman calendar
Luật La Mã	Roman law
Lê dương La Mã	Roman legion
Thần thoại La Mã	Roman mythology
Thể loại:Thần thoại La Mã	Roman mythology
Romania	Romania
Thể loại:Romania	Romania
Chủ nghĩa lãng mạn	Romanticism
Roma	Rome
Ronald Reagan	Ronald Reagan
Rễ	Root
Bộ Hoa hồng	Rosales
Rosario	Rosario
Rostock	Rostock
Luân trùng	Rotifer
Rotterdam	Rotterdam
Router	Router
Không quân Hoàng gia Anh	Royal Air Force
Cao su	Rubber
Rubidi	Rubidium
Hồng ngọc	Ruby
Ruby (ngôn ngữ lập trình)	Ruby (programming language)
Rudolf Diesel	Rudolf Diesel
Rudyard Kipling	Rudyard Kipling
Rupert Murdoch	Rupert Murdoch
Nga	Russia
Thể loại:Nga	Russia
Chính Thống giáo Nga	Russian Orthodox Church
Cách mạng Tháng Mười	Russian Revolution (1917)
Chiến tranh Nga-Nhật	Russo-Japanese War
Rutheni	Ruthenium
Rutherford B. Hayes	Rutherford B. Hayes
Rwanda	Rwanda
S	S
SOS	SOS
Sacramento, California	Sacramento
Saddam Hussein	Saddam Hussein
Thiên Tiễn	Sagitta
Sa mạc Sahara	Sahara
Thánh (Kitô Giáo)	Saint
Saint Kitts và Nevis	Saint Kitts and Nevis
Saint Lucia	Saint Lucia
Thánh Nicolas	Saint Nicholas
Sankt-Peterburg	Saint Petersburg
Thể loại:Sankt-Peterburg	Saint Petersburg
Saint Vincent và Grenadines	Saint Vincent and the Grenadines
Sake	Sake
Saladin	Saladin
Salem, Oregon	Salem
Nước miếng	Saliva
Salman Rushdie	Salman Rushdie
Họ Cá hồi	Salmonidae
Muối ăn	Salt
Muối (hóa học)	Salt (chemistry)
Salt Lake City, Utah	Salt Lake City
Salvador, Bahia	Salvador
Salzburg	Salzburg
Luân hồi	Samsara
Samuel Beckett	Samuel Beckett
Samuel Morse	Samuel F. B. Morse
Samurai	Samurai
San Antonio, Texas	San Antonio
San Diego, California	San Diego
San Francisco, California	San Francisco
San Jose, California	San Jose
San Marino	San Marino
Thành phố San Marino	San Marino
San Salvador	San Salvador
Cát	Sand
Đá cát	Sandstone
Bánh mì kẹp	Sandwich
Tiếng Phạn	Sanskrit
Ông già Noel	Santa Claus
Santiago de Chile	Santiago
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo
Xa-phia	Sapphire
Sappho	Sappho
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarin	Sarin
Saskatchewan	Saskatchewan
Vệ tinh	Satellite
Thứ Bảy	Saturday
Sao Thổ	Saturn
Ả Rập Saudi	Saudi Arabia
Saul Bellow	Saul Bellow
Sachsen	Saxony
Scandinavia	Scandinavia
Scandi	Scandium
Scheme	Scheme (programming language)
Triết học kinh viện	Scholasticism
Schutzstaffel	Schutzstaffel
Khoa học	Science
Thể loại:Khoa học	Science
Họ Sóc	Sciuridae
Bọ cạp	Scorpion
Thiên Hạt (định hướng)	Scorpius
Scotland	Scotland
Hướng đạo	Scouting
Bìu dái	Scrotum
Ngọc Phu	Sculptor (constellation)
Thể loại:Điêu khắc	Sculpture
Biển	Sea
Hải sâm	Sea cucumber
Mực nước biển	Sea level
Biển Azov	Sea of Azov
Biển Nhật Bản	Sea of Japan
Biển Marmara	Sea of Marmara
Biển Okhotsk	Sea of Okhotsk
Cá ngựa	Seahorse
Máy truy tìm dữ liệu	Search engine
Sears Tower	Sears Tower
Mùa	Season
Seattle, Washington	Seattle
Giây	Second
Công đồng Vatican II	Second Vatican Council
Định luật hai nhiệt động lực học	Second law of thermodynamics
Thể loại:An ninh	Security
Đá trầm tích	Sedimentary rock
Sông Seine	Seine
Địa chấn học	Seismology
Thể loại:Địa chấn học	Seismology
Selen	Selenium
Seleucus I Nicator	Seleucus I Nicator
Thể loại:Ngữ nghĩa học	Semantics
Tinh dịch	Semen
Chất bán dẫn	Semiconductor
Sénégal	Senegal
Thể loại:Sénégal	Senegal
Seoul	Seoul
Seppuku	Seppuku
Tháng chín	September
11 tháng 9	September 11
Sự kiện 11 tháng 9	September 11
17 tháng 9	September 17
29 tháng 9	September 29
Dãy (toán học)	Sequence
Serbia	Serbia
Serbia và Montenegro	Serbia and Montenegro
Thể loại:Serbia và Montenegro	Serbia and Montenegro
Sergei Mikhailovich Eisenstein	Sergei Eisenstein
Sergei Vasilievich Rachmaninoff	Sergei Rachmaninoff
Chuỗi (toán học)	Series (mathematics)
Cự Xà	Serpens
Máy chủ	Server (computing)
Tập hợp	Set
Sevastopol	Sevastopol
Chiến tranh Bảy năm	Seven Years' War
SARS	Severe acute respiratory syndrome
Sevilla	Seville
Quan hệ tình dục	Sexual intercourse
Thể loại:Tính dục	Sexuality
Bệnh lây truyền qua đường tình dục	Sexually transmitted disease
Seychelles	Seychelles
Thượng Hải	Shanghai
Shareware	Shareware
Cá mập	Shark
Sherlock Holmes	Sherlock Holmes
Shintō	Shinto
Shogi	Shogi
Shōgun	Shogun
Tôm thực sự	Shrimp
Siberi	Siberia
Tứ Xuyên	Sichuan
Siemens (đơn vị)	Siemens (unit)
Sierra Leone	Sierra Leone
Sigmund Freud	Sigmund Freud
Ngôn ngữ ký hiệu	Sign language
Sigrid Undset	Sigrid Undset
Sikkim	Sikkim
Silesia	Silesia
Silic	Silicon
Silicon Valley	Silicon Valley
Lụa	Silk
Con đường tơ lụa	Silk Road
Kỷ Silur	Silurian
Bạc	Silver
Simone de Beauvoir	Simone de Beauvoir
Sinclair Lewis	Sinclair Lewis
Singapore	Singapore
Thể loại:Singapore	Singapore
Sitting Bull	Sitting Bull
Hài kịch tình huống	Situation comedy
Chiến tranh Sáu ngày	Six-Day War
Skagerrak	Skagerrak
Da	Skin
Skopje	Skopje
Nhà chọc trời	Skyscraper
Nô lệ	Slavery
Slovakia	Slovakia
Thể loại:Slovakia	Slovakia
Slovenia	Slovenia
Rắn	Snake
Tuyết	Snow
Xà phòng	Soap
Chủ nghĩa xã hội	Socialism
Xã hội	Society
Dòng Tên	Society of Jesus
Xã hội học	Sociology
Thể loại:Xã hội học	Sociology
Socrates	Socrates
Natri	Sodium
Clorua natri	Sodium chloride
Natri hydroxit	Sodium hydroxide
Sofia (tỉnh)	Sofia
Thể loại:Phần mềm	Software
Đất	Soil
Họ Cà	Solanaceae
Thể loại:Họ Cà	Solanaceae
Hệ Mặt Trời	Solar System
Thể loại:Hệ Mặt Trời	Solar System
Pin mặt trời	Solar cell
Nhật thực	Solar eclipse
Năng lượng Mặt Trời	Solar energy
Gió Mặt Trời	Solar wind
Chất rắn	Solid
Chất rắn	Solid state
Quần đảo Solomon	Solomon Islands
Somalia	Somalia
Somme	Somme
Sonata	Sonata
Bài hát	Song
Sophia Loren	Sophia Loren
Sorbonne	Sorbonne
Chi Lúa miến	Sorghum
Thuật toán sắp xếp	Sorting algorithm
Linh hồn	Soul
Âm thanh	Sound
Mã nguồn	Source code
Hướng Nam	South
Thể loại:Nam Phi	South Africa
Nam Mỹ	South America
Thể loại:Nam Mỹ	South America
Nam Úc (tiểu bang)	South Australia
Nam Carolina	South Carolina
Biển Đông	South China Sea
Nam Dakota	South Dakota
Hàn Quốc	South Korea
Thể loại:Hàn Quốc	South Korea
Nam Cực	South Pole
Việt Nam Cộng hòa	South Vietnam
Đông Nam Á	Southeast Asia
Nam bán cầu	Southern Hemisphere
Liên Xô	Soviet Union
Thể loại:Liên Xô	Soviet Union
Đậu tương	Soybean
Tàu vũ trụ	Spacecraft
Mỳ ống Italia	Spaghetti
Tây Ban Nha	Spain
Thể loại:Tây Ban Nha	Spain
Thư rác (điện tử)	Spam (electronic)
Nội chiến Tây Ban Nha	Spanish Civil War
Thể loại:Người Tây Ban Nha	Spanish people
Lý thuyết tương đối hẹp	Special relativity
Loài	Species
Phổ học	Spectroscopy
Tốc độ ánh sáng	Speed of light
Spencer Tracy	Spencer Tracy
Thực vật có hạt	Spermatophyte
Tinh trùng	Spermatozoon
Nhân sư	Sphinx
Gia vị	Spice
Nhện	Spider
Spin	Spin (physics)
Tủy sống	Spinal cord
Lách	Spleen
Thể thao	Sport
Mùa xuân	Spring (season)
Springfield, Illinois	Springfield
Phần mềm gián điệp	Spyware
Hình vuông	Square (geometry)
Mét vuông	Square metre
Sri Lanka	Sri Lanka
Thể loại:Sri Lanka	Sri Lanka
Sân vận động	Stadium
Thép không gỉ	Stainless steel
Đại học Stanford	Stanford University
