Persian	English
جایزه نوبل	Nobel Prize
نوبلیوم	Nobelium
گازهای نجیب	Noble gas
عشایر	Nomad
گونیا (صورت فلکی)	Norma (constellation)
توزیع نرمال	Normal distribution
نورمن میلر	Norman Mailer
نورماندی	Normandy
نورن	Norn
شمال	North
آفریقای شمالی	North Africa
آمریکای شمالی	North America
رده:آمریکای شمالی	North America
کارولینای شمالی	North Carolina
داکوتای شمالی	North Dakota
کره شمالی	North Korea
رده:کره شمالی	North Korea
دریای شمال	North Sea
اروپای شمالی	Northern Europe
نیم‌کره شمالی	Northern Hemisphere
ایرلند شمالی	Northern Ireland
مجمع‌الجزایر ماریانای شمالی	Northern Mariana Islands
سرزمین شمالی (استرالیا)	Northern Territory
نروژ	Norway
رده:نروژ	Norway
بینی	Nose
نوسترآداموس	Nostradamus
نت	Note
نوآکشوت	Nouakchott
اسم (دستور زبان)	Noun
نوا اسکوشیا	Nova Scotia
رمان	Novel
نوامبر	November
۱ نوامبر	November 1
۱۱ نوامبر	November 11
۲ نوامبر	November 2
۵ نوامبر	November 5
زبان نوویال	Novial
نووسیبیرسک	Novosibirsk
شکافت هسته‌ای	Nuclear fission
همجوشی هسته‌ای	Nuclear fusion
فیزیک هسته‌ای	Nuclear physics
انرژی هسته‌ای	Nuclear power
جنگ‌افزار هسته‌ای	Nuclear weapon
اسید نوکلئیک	Nucleic acid
ذرات هسته‌ای	Nucleon
نوکلئوتید	Nucleotide
عدد	Number
رده:اعداد	Numbers
نورنبرگ	Nuremberg
O	O
اوپک	OPEC
اوآهو	Oahu
بلوط	Oak
اوکلند	Oakland
واحه	Oasis
یولاف	Oat
ابلیسک	Obelisk
برنامه‌نویسی شی‌گرا	Object-oriented programming
ابوا	Oboe
رصدخانه	Observatory
ابسيدين	Obsidian
تیغ اوکام	Occam's razor
اقیانوس	Ocean
اقیانوسیه	Oceania
اوکئانیدها	Oceanid
اوکئانوس	Oceanus
هشتک (صورت فلکی)	Octans
اوکتاو	Octave
اکتبر	October
۱۲ اکتبر	October 12
۲۴ اکتبر	October 24
هشت‌پا	Octopus
اودسا	Odessa
اودین	Odin
اودیسئوس	Odysseus
ادیسه	Odyssey
ادیپ	Oedipus
اوهایو	Ohio
اهم	Ohm
قانون اهم	Ohm's law
روغن	Oil
روغن	Oil (disambiguation)
اکلاهوما	Oklahoma
اکلاهوما سیتی	Oklahoma City
جشن اکتبر	Oktoberfest
زیتون	Olive
روغن زیتون	Olive oil
الیور کرامول	Oliver Cromwell
المپیا (ایالات متحده)	Olympia
المپیا	Olympia
بازی‌های المپیک	Olympic Games
اوماها	Omaha
عمان	Oman
رده:عمان	Oman
پیاز	Onion
انتاریو	Ontario
رده:انتاریو	Ontario
هستی‌شناسی	Ontology
ابر اورت	Oort cloud
شرکت خودروسازی اپل	Opel
اپرا	Opera
مرورگر اپرا	Opera (Internet suite)
سیستم عامل	Operating system
مارافسای	Ophiuchus
تریاک	Opium
فیبر نوری	Optical fiber
خطای دید	Optical illusion
نورشناخت	Optics
بهینه‌سازی (ریاضیات)	Optimization (mathematics)
آمیزش جنسی دهانی	Oral sex
نارنجی	Orange (colour)
پرتقال	Orange (fruit)
مدار (سیاره)	Orbit
اورگن	Oregon
اورستس	Orestes (mythology)
ارگ (ساز)	Organ (music)
اندامک	Organelle
شیمی آلی	Organic chemistry
ترکیب آلی	Organic compound
اندامگان	Organism
سازمان	Organization
اوج لذت جنسی	Orgasm
اریگامی	Origami
اورلندو	Orlando
اورسن ولز	Orson Welles
اوساکا	Osaka
اسامه بن لادن	Osama bin Laden
اسکار وایلد	Oscar Wilde
نوسان	Oscillation
اوزیریس	Osiris
اسلو	Oslo
عثمان اول	Osman I
اسمیوم	Osmium
استراوا	Ostrava
شترمرغ	Ostrich
اتلو	Othello
اتاوا	Ottawa
اتو فون بیسمارک	Otto von Bismarck
امپراتوری عثمانی	Ottoman Empire
اونس	Ounce
ابیدو	Oviedo
جغد	Owl
آکسفورد	Oxford
اکسیژن	Oxygen
ازن	Ozone
P	P
پ‌هاش	PH
پابلو نرودا	Pablo Neruda
پابلو پیکاسو	Pablo Picasso
اقیانوس آرام	Pacific Ocean
پاکستان	Pakistan
رده:پاکستان	Pakistan
کاخ ورسای	Palace of Versailles
پالائو	Palau
دیرین‌شناسی	Paleontology
دیرینه‌زیستی	Paleozoic
پالرمو	Palermo
فلسطین	Palestine
رده:فلسطین	Palestine
سازمان آزادی‌بخش فلسطین	Palestine Liberation Organization
واروخوانه	Palindrome
پالمیرا	Palmyra
پامیر	Pamir Mountains
پاناما	Panama
رده:پاناما	Panama
پاناماسیتی	Panama City
لوزالمعده	Pancreas
پاندورا	Pandora
پانجه‌آ	Pangaea
پاپوآ گینه نو	Papua New Guinea
پاپیروس	Papyrus
پارادایم	Paradigm
پارادوکس	Paradox
پاراگوئه	Paraguay
رده:پاراگوئه	Paraguay
اختلاف منظر	Parallax
پاراماریبو	Paramaribo
پارانویا	Paranoia
فراروان‌شناسی	Parapsychology
انگل	Parasitism
پاریس	Paris
پاریس (شخصیت افسانه‌ای)	Paris (mythology)
پارکینسون	Parkinson's disease
برمانیدس	Parmenides
پارسک	Parsec
جعفری (سبزی)	Parsley
پارتنون	Parthenon
اشکانیان	Parthia
فیزیک ذرات	Particle physics
پاسکال (ابهام‌زدایی)	Pascal
زبان برنامه‌نویسی پاسکال	Pascal (programming language)
رده:گنجشک‌سانان	Passeriformes
پسح	Passover
گذرنامه	Passport
پاتاگونیا	Patagonia
حق امتیاز	Patent
گیاه‌پزشکی	Pathology
پاتراس	Patras
میهن‌دوستی	Patriotism
پل گوگن	Paul Gauguin
پل کله	Paul Klee
پل مک‌کارتنی	Paul McCartney
پل نیومن	Paul Newman
اصل طرد پاولی	Pauli exclusion principle
طاووس (صورت فلکی)	Pavo (constellation)
هلو	Peach
طاووس	Peafowl
بادام زمینی	Peanut
گلابی	Pear
مروارید	Pearl
پرل هاربر	Pearl Harbor
پزشکی کودکان	Pediatrics
پگاسوس	Pegasus
اسب بزرگ (صورت فلکی)	Pegasus (constellation)
آونگ	Pendulum
پنلوپه	Penelope
پنگوئن	Penguin
پنی‌سیلین	Penicillin
شبه جزیره	Peninsula
پنسیلوانیا	Pennsylvania
ستاره پنج پر	Pentagram
پپن کهتر	Pepin the Short
پپسی‌کولا	Pepsi
پپتید	Peptide
ادراک	Perception
سوف‌ماهی‌شکلان	Perciformes
ساز کوبه‌ای	Percussion instrument
پروستریکا	Perestroika
پریکلس	Pericles
جدول تناوبی (استاندارد)	Periodic table
پرم	Perm
تخت جمشید	Persepolis
پرسئوس	Perseus
برساووش	Perseus (constellation)
تاریخ ایران پیش از اسلام	Persian Empire
خلیج فارس	Persian Gulf
دستیار دیجیتال شخصی	Personal digital assistant
پرث	Perth
پرو	Peru
رده:پرو	Peru
نفت	Petroleum
سنگ‌شناسی	Petrology
پیرازیستی	Phanerozoic
فرعون	Pharaoh
داروسازی	Pharmacology
حلق	Pharynx
فاز (ماده)	Phase (matter)
پدیدارشناسی	Phenomenology
فیلادلفیا	Philadelphia
فیلیپ دوم مقدونی	Philip II of Macedon
فیلیپ لنارت	Philipp Lenard
فیلیپین	Philippines
فلسفه	Philosophy
رده:فلسفه	Philosophy
پنوم پن	Phnom Penh
هراس	Phobia
فوبوس	Phobos (moon)
فنیقی‌ها	Phoenicia
فینیکس	Phoenix
سیمرغ (صورت فلکی)	Phoenix (constellation)
ققنوس	Phoenix (mythology)
کاوشگر فینیکس	Phoenix (spacecraft)
واج	Phoneme
آواشناسی	Phonetics
واج‌شناسی	Phonology
فسفریک اسید	Phosphoric acid
فسفر	Phosphorus
عکاسی	Photography
فوتون	Photon
نورساخت	Photosynthesis
شیمی‌فیزیک	Physical chemistry
فیزیک	Physics
رده:فیزیک	Physics
درگاه:فیزیک	Physics
فیزیولوژی	Physiology
رده:فیزیولوژی	Physiology
عدد پی	Pi
پیانو	Piano
دارکوب‌سانان	Piciformes
سه‌پایه (صورت فلکی)	Pictor
پییر	Pierre
پیر کوری	Pierre Curie
پییر دو فرما	Pierre de Fermat
پیت موندریان	Piet Mondrian
پیتر زیمان	Pieter Zeeman
رنگ‌دانه	Pigment
پیزا	Pisa
ماهی (صورت فلکی)	Pisces (constellation)
پیتسبورگ	Pittsburgh
پیکسل	Pixel
پیتزا	Pizza
سیاره	Planet
پلانکتون	Plankton
پلاسما (فیزیک)	Plasma (physics)
پلاسمید	Plasmid
پلاستید	Plastid
زمین‌ساخت	Plate tectonics
پلاتین	Platinum
افلاطون	Plato
نوک‌اردکی	Platypus
پلی‌بوی	Playboy
خوشه پروین	Pleiades (star cluster)
پلینیوس	Pliny the Elder
فلوطین	Plotinus
آلو	Plum
پلوتارک	Plutarch
پلوتون (سیاره کوتوله)	Pluto
پلوتونیوم	Plutonium
پو (رودخانه)	Po River
پادکست	Podcast
شعر	Poetry
رده:شعر	Poetry
نقطه (هندسه)	Point (geometry)
پوکر	Poker
لهستان	Poland
رده:لهستان	Poland
خرس قطبی	Polar bear
ستاره قطبی	Polaris
حزب	Political party
علوم سیاسی	Political science
رده:علوم سیاسی	Political science
سیاست	Politics
رده:سیاست	Politics
گرده‌افشانی	Pollination
چوگان	Polo
پولونیوم	Polonium
چندهمسری	Polygamy
بسپار	Polymer
پلی‌نزی	Polynesia
چندجمله‌ای	Polynomial
چندخدایی	Polytheism
انار	Pomegranate
پومپه	Pompey
پاپ آرت	Pop art
موسیقی پاپ	Pop music
پاپ	Pope
سپیدار	Poplar
پوپولیسم	Populism
پرسلان	Porcelain
بندر	Port
پورت‌لوئیس	Port Louis
پورت مورسبی	Port Moresby
پورت ویلا	Port Vila
پورت او پرنس	Port-au-Prince
پورت‌لند	Portland
پورتو	Porto
پرتغال	Portugal
رده:پرتغال	Portugal
پوزئیدون	Poseidon
پوزیترون	Positron
تمبر	Postage stamp
پسانوگرایی	Postmodernism
پتاسیم	Potassium
شوره	Potassium nitrate
سیب‌زمینی	Potato
انرژی پتانسیل	Potential energy
پوند استرلینگ	Pound sterling
فقر	Poverty
توان	Power (physics)
نیروگاه	Power station
پراگ	Prague
پراسیودیمیوم	Praseodymium
نماز	Prayer
پیش از تاریخ	Prehistory
رئیس جمهور	President
رئیس جمهور ایالات متحده آمریکا	President of the United States
فشار	Pressure
پرتوریا	Pretoria
کشیش	Priest
نخستی‌ها	Primate
نصف‌النهار مبدأ	Prime Meridian
عدد اول	Prime number
دانشگاه پرینستون	Princeton University
اصل نسبیت	Principle of relativity
چاپ	Printing
پریون	Prion
زندان	Prison
جایزه گنکور	Prix Goncourt
احتمالات	Probability
نظریه احتمالات	Probability theory
رده:نظریه احتمالات	Probability theory
زبان های برنامه نویسی	Programming language
پروژه	Project
پروکاریوت	Prokaryote
پرومتئوس	Prometheus
پرومتیوم	Promethium
ضمیر	Pronoun
جوسازی	Propaganda
پیامبر	Prophet
نثر	Prose
پروتاکتینیوم	Protactinium
پروتئین	Protein
پروتستانتیسم	Protestantism
آغازیان	Protist
??????	Protocol
پروتون	Proton
تک‌یاختگان	Protozoa
پراویدنس	Providence
گوجه سبز	Prunus
پروس	Prussia
مزامیر داوود	Psalms
نام مستعار	Pseudonym
رده:دانش‌نماها	Pseudoscience
شبه علم	Pseudoscience
داء‌الصدف	Psoriasis
روانکاوی	Psychoanalysis
روان‌شناسی	Psychology
رده:روانشناسی	Psychology
دودمان بطلمیوسی	Ptolemaic dynasty
بطلمیوس (ابهام‌زدایی)	Ptolemy
بلوغ جنسی	Puberty
مالکیت عمومی	Public domain
روابط عمومی	Public relations
پورتوریکو	Puerto Rico
رده:پورتوریکو	Puerto Rico
قرقره (چرخ)	Pulley
تپ‌اختر	Pulsar
پمپ	Pump
نشانه‌های نوشتاری	Punctuation
کشتیدم	Puppis
پیونگ‌یانگ	Pyongyang
هرم	Pyramid
پیرنه	Pyrenees
فیثاغورس	Pythagoras
زبان برنامه‌نویسی پایتون	Python (programming language)
قطب‌نما (صورت فلکی)	Pyxis
Q	Q
قطر (کشور)	Qatar
نظریه میدان‌های کوانتومی	Quantum field theory
مکانیک کوانتومی	Quantum mechanics
رده:مکانیک کوانتومی	Quantum mechanics
کوارک	Quark
کوارتز	Quartz
اخترنما	Quasar
چهارگان‌ها	Quaternion
کبک (استان)	Quebec
رده:کبک	Quebec
کبک (شهر)	Quebec City
کوینز	Queens
کوئینزلند	Queensland
کوئنتین تارانتینو	Quentin Tarantino
به	Quince
کوئیتو	Quito
R	R
رباط	Rabat
رابیندرانات تاگور	Rabindranath Tagore
نژادپرستی	Racism
رادار	Radar
رادیو تلسکوپ	Radio telescope
واپاشی هسته‌ای	Radioactive decay
پرتوشناسی	Radiology
رادون	Radon
رنگین‌کمان	Rainbow
رالی (کارولینای شمالی)	Raleigh
رالف والدو امرسن	Ralph Waldo Emerson
رمضان	Ramadan
رامسس دوم	Ramesses II
حافظه دسترسی تصادفی	Random access memory
آلالگان	Ranunculaceae
تجاوز جنسی	Rape
رافائل	Raphael
اسرافیل	Raphael (archangel)
اعداد گویا	Rational number
سینه‌پهنان	Ratite
راولپندی	Rawalpindi
ری بردبری	Ray Bradbury
اعداد حقیقی	Real number
مستطیل	Rectangle
یکسوکننده	Rectifier
بازیافت	Recycling
سرخ	Red
دریای سرخ	Red Sea
گویچه سرخ	Red blood cell
غول قرمز	Red giant
انتقال به سرخ	Redshift
همه‌پرسی	Referendum
شکست نور	Refraction
رگی	Reggae
رجاینا	Regina
منطقه	Region
گوزن شمالی	Reindeer
نسبی‌گرایی اخلاقی	Relativism
رده:نسبیت	Relativity
رله	Relay
دین	Religion
رده:دین	Religion
رامبرانت	Rembrandt
رنسانس	Renaissance
خزندگان	Reptile
جمهوری	Republic
جمهوری چین	Republic of China
ایرلند	Republic of Ireland
جمهوری کنگو	Republic of the Congo
رده:جمهوری کنگو	Republic of the Congo
حزب جمهوری‌خواه ایالات متحده آمریکا	Republican Party (United States)
غذاخوری	Restaurant
تور (صورت فلکی)	Reticulum
ویتامین آ	Retinol
انقلاب	Revolution
رئا	Rhea (mythology)
رنیوم	Rhenium
رود راین	Rhine
کرگدن	Rhinoceros
رود آیلند	Rhode Island
رادیوم	Rhodium
ریتم	Rhythm
ریتم و بلوز	Rhythm and blues
ریبوزوم	Ribosome
برنج	Rice
ریچارد فاینمن	Richard Feynman
ریچارد نیکسون	Richard Nixon
ریچارد اشتراوس	Richard Strauss
ریچارد واگنر	Richard Wagner
ریچموند	Richmond
پای شکارچی	Rigel
بعد (ستاره‌شناسی)	Right ascension
حلقه (ریاضی)	Ring (mathematics)
رینگو استار	Ringo Starr
رودخانه ریوگراند	Rio Grande
ریو دوژانیرو	Rio de Janeiro
رود	River
رود تیمز	River Thames
ریاض	Riyadh
رابرت آنسون هاین‌لاین	Robert A. Heinlein
رابرت میلیکان	Robert Andrews Millikan
رابرت بویل	Robert Boyle
رابرت دنیرو	Robert De Niro
رابرت هوک	Robert Hooke
رابرت کخ	Robert Koch
روبرت اوپنهایمر	Robert Oppenheimer
رابرت اوون/موقت	Robert Owen
رابرت ردفورد	Robert Redford
روبرت شومان	Robert Schumann
رابین‌هود	Robin Hood
روبات	Robot
راک اند رول	Rock and roll
راک	Rock music
رشته‌کوه راکی	Rocky Mountains
جوندگان	Rodent
شوکا	Roe Deer
رونتگنیوم	Roentgenium
راجر بیکن	Roger Bacon
امپراتوری روم	Roman Empire
رومانی	Romania
رده:رومانی	Romania
رمانتیسیسم	Romanticism
رم	Rome
رونالد ریگان	Ronald Reagan
ریشه	Root
رزا پارکس	Rosa Parks
گلسرخیان	Rosaceae
تسبیح	Rosary
گل سرخ	Rose
روسو	Roseau
رومارن	Rosemary
روش هشانا	Rosh Hashanah
روتردام	Rotterdam
مسیریاب	Router
نیروی هوایی پادشاهی	Royal Air Force
انجمن سلطنتی	Royal Society
کائوچو	Rubber
روبیدیوم	Rubidium
یاقوت	Ruby
روبی	Ruby (programming language)
رودولف اشتاینر	Rudolf Steiner
راگبی	Rugby football
روپرت مرداک	Rupert Murdoch
روسیه	Russia
رده:روسیه	Russia
انقلاب ۱۹۱۷ روسیه	Russian Revolution (1917)
جنگ روسیه و ژاپن (۱۹۰۴ میلادی)	Russo-Japanese War
روتنیوم	Ruthenium
روترفورد بیر چارد هیس	Rutherford B. Hayes
رواندا	Rwanda
رده:رواندا	Rwanda
S	S
پروتکل دسترسی آسان به اشیاء	SOAP
ساکرامنتو	Sacramento
صدام حسین	Saddam Hussein
سافاری	Safari (web browser)
زعفران	Saffron
پیکان (صورت فلکی)	Sagitta
کمان (صورت فلکی)	Sagittarius (constellation)
صحرا	Sahara
سنت کیتس و نویس	Saint Kitts and Nevis
سنت لوسیا	Saint Lucia
نیکلاس قدیس	Saint Nicholas
سینت‌پال	Saint Paul
سن پترزبورگ	Saint Petersburg
سنت وینسنت و گرنادین	Saint Vincent and the Grenadines
ساکی	Sake
صلاح‌الدین ایوبی	Saladin
نماز (اسلام)	Salah
سمندر	Salamander
سیلم	Salem
بزاق	Saliva
سلمان رشدی	Salman Rushdie
سالت‌لیک‌سیتی	Salt Lake City
سالزبورگ	Salzburg
ایالت سالزبورگ	Salzburg (state)
ساماریوم	Samarium
سمرقند	Samarkand
ساموآ	Samoa
ساموئل بکت	Samuel Beckett
ساموئل مورس	Samuel F. B. Morse
سن‌آنتونیو	San Antonio
سن دیگو	San Diego
سان‌فرانسیسکو	San Francisco
سان خوزه، کالیفرنیا	San Jose
سان خوآن	San Juan
سان مارینو	San Marino
رده:سان مارینو	San Marino
سان سالوادور	San Salvador
سانسکریت	Sanskrit
سنتا فه، نیومکزیکو	Santa Fe
سانتیاگو	Santiago
سانتو دومینگو	Santo Domingo
سافو	Sappho
ساراتوف	Saratov
ساردین	Sardine
ساردنی	Sardinia
ساری	Sari
ساسکاچوان	Saskatchewan
شیطان	Satan
شیطان‌پرستی	Satanism
ماهواره	Satellite
شنبه	Saturday
کیوان (سیاره)	Saturn
سس	Sauce
عربستان سعودی	Saudi Arabia
رده:عربستان سعودی	Saudi Arabia
زاکسن	Saxony
ساکسوفون	Saxophone
اسکاندیناوی	Scandinavia
اسکاندیم	Scandium
اسکیم	Scheme (programming language)
روان‌گسیختگی	Schizophrenia
وافن اس‌اس	Schutzstaffel
علم	Science
رده:علوم	Science
علمی-تخیلی	Science fiction
دانشمند	Scientist
ساینتولوژی	Scientology
کژدم	Scorpion
اسکاتلند	Scotland
رده:اسکاتلند	Scotland
پیچ	Screw
پیچ گوشتی	Screwdriver
سنگتراش (صورت فلکی)	Sculptor (constellation)
دریا	Sea
شنگ دریایی	Sea Otter
شقایق دریایی	Sea anemone
خیار دریایی	Sea cucumber
دریای آزوف	Sea of Azov
دریای ژاپن	Sea of Japan
دریای مرمره	Sea of Marmara
دریای اختسک	Sea of Okhotsk
توتیای دریایی	Sea urchin
اسب دریایی	Seahorse
موتور جستجو	Search engine
سیاتل	Seattle
ثانیه	Second
قانون دوم ترمودینامیک	Second law of thermodynamics
سگوبیا	Segovia
رود سن	Seine
زلزله‌شناسی	Seismology
رده:زلزله‌شناسی	Seismology
سلنیوم	Selenium
سلوکوس یکم	Seleucus I Nicator
معناشناسی	Semantics
رده:معناشناسی	Semantics
منی	Semen
نیمه‌رسانا	Semiconductor
نشانه‌شناسی	Semiotics
سامی	Semitic
سنگال	Senegal
رده:سنگال	Senegal
سئول	Seoul
سپتامبر	September
۱۱ سپتامبر	September 11
حملات ۱۱ سپتامبر	September 11
۱۷ سپتامبر	September 17
۲۹ سپتامبر	September 29
سپتانت	Septuagint
توالی	Sequence
صربستان	Serbia
صربستان و مونته‌نگرو	Serbia and Montenegro
سرگئی آیزنشتاین	Sergei Eisenstein
سرگئی راخمانینف	Sergei Rachmaninoff
سری	Series (mathematics)
مار (صورت فلکی)	Serpens
مجموعه (ریاضی)	Set
نظریه مجموعه‌ها	Set theory
رده:نظریه مجموعه‌ها	Set theory
سواستوپول	Sevastopol
جنس	Sex
اندام جنسی	Sex organ
جنسیت‌گرایی	Sexism
سدس	Sextant
رده:جنسیت	Sexuality
بیماری‌های آمیزشی	Sexually transmitted disease
سیشل	Seychelles
رده:سیشل	Seychelles
شاه	Shah
شمن‌باوری	Shamanism
شانگهای	Shanghai
کوسه	Shark
شرلوک هلمز	Sherlock Holmes
شتلند	Shetland
سپر	Shield
شیکوکو	Shikoku
شینتو	Shinto
کشتی (شناور)	Ship
شوگی	Shogi
سیبری	Siberia
سیچوآن	Sichuan
سیسیل	Sicily
سیرالئون	Sierra Leone
رده:سیرالئون	Sierra Leone
زیگموند فروید	Sigmund Freud
آئین سیک	Sikhism
سیلیسیم	Silicon
دره سیلیکون	Silicon Valley
سیلیس	Silicon dioxide
ابریشم	Silk
جاده ابریشم	Silk Road
نقره	Silver
سیمون دوبوار	Simone de Beauvoir
شبه‌جزیره سینا	Sinai Peninsula
سنگاپور	Singapore
تک‌آهنگ	Single (music)
سیرن	Siren
شباهنگ (ستاره)	Sirius
سیزیف	Sisyphus
جنگ شش روزه	Six-Day War
شک‌گرایی	Skepticism
پوست	Skin
اسکوپیه	Skopje
جمجمه	Skull
اسکای‌لب	Skylab
آسمانخراش	Skyscraper
اسلش	Slash (musician)
برده‌داری	Slavery
خواب	Sleep
اسلواکی	Slovakia
رده:اسلوواکی	Slovakia
اسلوونی	Slovenia
رده:اسلوونی	Slovenia
اسمولنسک	Smolensk
مار	Snake
اسنوکر	Snooker
برف	Snow
سوسیالیسم	Socialism
حزب سوسیالیست (فرانسه)	Socialist Party (France)
انجمن عیسی	Society of Jesus
جامعه‌شناسی	Sociology
رده:جامعه‌شناسی	Sociology
سقراط	Socrates
سدیم	Sodium
جوش شیرین	Sodium bicarbonate
سدیم کلرید	Sodium chloride
صوفیه	Sofia
سافت‌بال	Softball
خاک	Soil
سیب‌زمینیان	Solanaceae
سامانه خورشیدی	Solar System
خورشیدگرفتگی	Solar eclipse
انرژی خورشیدی	Solar energy
باد خورشیدی	Solar wind
جامد	Solid
جامد	Solid state
سلیمان	Solomon
جزایر سلیمان	Solomon Islands
سولون	Solon
حلال	Solvent
سومالی	Somalia
رده:سومالی	Somalia
ترانه	Song
غزل غزل‌های سلیمان	Song of Solomon
سوفیا لورن	Sophia Loren
سوفسطائیان	Sophism
سوفوکل	Sophocles
سوپرانو	Soprano
دانشگاه سوربن	Sorbonne
الگوریتم مرتب‌سازی	Sorting algorithm
روح	Soul
صدا	Sound
جنوب	South
رده:آفریقای جنوبی	South Africa
آمریکای جنوبی	South America
رده:آمریکای جنوبی	South America
استرالیای جنوبی	South Australia
کارولینای جنوبی	South Carolina
دریای جنوبی چین	South China Sea
داکوتای جنوبی	South Dakota
کره جنوبی	South Korea
رده:کره جنوبی	South Korea
نیم‌کره جنوبی	Southern Hemisphere
اتحاد جماهیر شوروی سوسیالیستی	Soviet Union
رده:اتحاد شوروی	Soviet Union
سویا	Soybean
فضا	Space
شاتل فضایی	Space Shuttle
ایستگاه فضایی	Space station
فضاپیما	Spacecraft
اسپاگتی	Spaghetti
اسپانیا	Spain
رده:اسپانیا	Spain
هرزنامه	Spam (electronic)
جنگ داخلی اسپانیا	Spanish Civil War
رده:اهالی اسپانیا	Spanish people
جنگ آمریکا و اسپانیا	Spanish-American War
اسپارت	Sparta
نیزه	Spear
نسبیت خاص	Special relativity
گونه	Species
طیف‌نمایی	Spectroscopy
سرعت نور	Speed of light
غارنوردی	Speleology
اسپنسر تریسی	Spencer Tracy
نهنگ عنبر	Sperm Whale
کره (شکل هندسی)	Sphere
ابوالهول	Sphinx
عنکبوت	Spider
اسپین	Spin (physics)
اسفنج دریایی	Sponge
ورزش	Sport
صفحه گسترده	Spreadsheet
بهار	Spring (season)
اسپرینگ‌فیلد	Springfield
جاسوس‌افزار	Spyware
مربع	Square (geometry)
سنجاب	Squirrel
سری لانکا	Sri Lanka
رده:سری‌لانکا	Sri Lanka
سنت‌لوئیس	St. Louis
ورزشگاه	Stadium
فولاد ضدزنگ	Stainless steel
انحراف معیار	Standard deviation
دانشگاه استنفورد	Stanford University
استنلی کوبریک	Stanley Kubrick
ستاره	Star
ستاره داوود	Star of David
نشاسته	Starch
ستاره دریایی	Starfish
ایالت	State
استاتن آیلند	Staten Island
مکانیک آماری	Statistical mechanics
آمار	Statistics
رده:آمار	Statistics
مجسمه آزادی	Statue of Liberty
فولاد	Steel
سلول‌های بنیادی	Stem cell
استاندال	Stendhal
استیون هاوکینگ	Stephen Hawking
استیون اسپیلبرگ	Steven Spielberg
استینگ	Sting
استکهلم	Stockholm
معده	Stomach
عصر سنگ	Stone Age
استون‌هنج	Stonehenge
تنگه	Strait
تنگه هرمز	Strait of Hormuz
راهبرد	Strategy
چینه‌شناسی	Stratigraphy
تنیدگی (استرس)	Stress (medicine)
نظریه ریسمان	String theory
نیروی هسته‌ای قوی	Strong interaction
استرانسیوم	Strontium
ساختارگرایی	Structuralism
دانش‌آموز	Student
اشتوتگارت	Stuttgart
آفریقای سیاه	Sub-Saharan Africa
خرده‌فرهنگ	Subculture
تصعید	Sublimation (chemistry)
زیردریایی	Submarine
زیرمجموعه	Subset
تفریق	Subtraction
سودان	Sudan
رده:سودان	Sudan
سودوکو	Sudoku
کانال سوئز	Suez Canal
صوفی‌گری	Sufism
محمد سوهارتو	Suharto
احمد سوکارنو	Sukarno
سولاوسی	Sulawesi
گوگرد	Sulfur
اسید سولفوریک	Sulfuric acid
سلطان	Sultan
سوماترا	Sumatra
سومریان	Sumer
تابستان	Summer
خورشید	Sun
سون یات سن	Sun Yat-sen
یک‌شنبه	Sunday
ساعت آفتابی	Sundial
گل آفتابگردان	Sunflower
سنی	Sunni Islam
ابررایانه	Supercomputer
ابررسانایی	Superconductivity
ابرنواختر	Supernova
دیوان عالی فدرال ایالات متحده آمریکا	Supreme Court of the United States
سوره	Sura
کشش سطحی	Surface tension
سورینام	Suriname
رده:سورینام	Suriname
فراواقع‌گرایی	Surrealism
سوشی	Sushi
سووا	Suva
سوالبارد	Svalbard
قو	Swan
صلیب شکسته	Swastika
سوازیلند	Swaziland
رده:سوازیلند	Swaziland
سوئد	Sweden
رده:سوئد	Sweden
شنا	Swimming
رده:اهالی سوئیس	Swiss people
سوئیس	Switzerland
رده:سوئیس	Switzerland
شمشیر	Sword
سیدنی	Sydney
هجا	Syllable
سیلویا پلات	Sylvia Plath
نماد	Symbol
سمفونی	Symphony
نشانه‌های بیماری	Symptom
کنیسه	Synagogue
هم رنجی	Synesthesia
نحو	Syntax
سوریه	Syria
رده:سوریه	Syria
سامانه	System
سامانه‌شناسی	Systematics
T	T
توماس ادوارد لورنس	T. E. Lawrence
توماس استرنز الیوت	T. S. Eliot
تنیس روی میز	Table tennis
تابو	Taboo
تکواندو	Taekwondo
رودخانه تاقوس	Tagus
تاهیتی	Tahiti
تای چی چوان	Tai chi chuan
تایپه	Taipei
تاج‌محل	Taj Mahal
تاجیکستان	Tajikistan
رده:تاجیکستان	Tajikistan
طالبان	Taliban
تالاهاسی	Tallahassee
تالین	Tallinn
تلمود	Talmud
تمپا، فلوریدا	Tampa
تنخ	Tanakh
طنجه	Tangier
تانگو	Tango (dance)
تانک	Tank
تانتالیوم	Tantalum
تانزانیا	Tanzania
رده:تانزانیا	Tanzania
تاشکند	Tashkent
تاسمانی	Tasmania
شیطان تاسمانی	Tasmanian Devil
تاکسی	Taxicab
آرایه (زیست‌شناسی)	Taxon
سرخدار	Taxus baccata
تفلیس	Tbilisi
چای	Tea
تکنسیوم	Technetium
تکنو	Techno
فناوری	Technology
رده:فناوری	Technology
تگوسیگالپا	Tegucigalpa
تهران	Tehran
تل‌آویو	Tel Aviv
مخابرات	Telecommunication
تلفن	Telephone
تلسکوپ	Telescope
تلسکوپ (صورت فلکی)	Telescopium
تلویزیون	Television
