Polish	English
Podcasting	Podcast
Poezja	Poetry
Kategoria:Poezja	Poetry
Pogrom	Pogrom
Punkt (geometria)	Point (geometry)
Trucizna	Poison
Poitiers	Poitiers
Poitou-Charentes	Poitou-Charentes
Poker	Poker
Polska	Poland
Kategoria:Polska	Poland
Niedźwiedź polarny	Polar bear
Alfa Ursae Minoris	Polaris
Policja	Police
Choroba Heinego-Medina	Poliomyelitis
Partia polityczna	Political party
Politologia	Political science
Kategoria:Politologia	Political science
Polityk	Politician
Polityka	Politics
Kategoria:Polityka	Politics
Pyłek	Pollen
Zapylanie	Pollination
Zanieczyszczenie środowiska	Pollution
Polo (sport)	Polo
Polon	Polonium
Polietylen	Polyethylene
Poligamia	Polygamy
Wielokąt	Polygon
Wielościan	Polyhedron
Polihymnia	Polyhymnia
Polimery	Polymer
Polinezja	Polynesia
Wielomian	Polynomial
Politeizm	Polytheism
Poli(chlorek winylu)	Polyvinyl chloride
Granatowiec właściwy	Pomegranate
Pomarańcza olbrzymia	Pomelo
Pompeje	Pompeii
Pompejusz	Pompey
Poncjusz Piłat	Pontius Pilate
Pop-art	Pop art
Muzyka pop	Pop music
Papież	Pope
Papież Aleksander VI	Pope Alexander VI
Topola	Poplar
Populizm	Populism
Porcelana	Porcelain
Pornografia	Pornography
Port morski	Port
Port Louis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland (Oregon)	Portland
Portland	Portland
Porto (miasto)	Porto
Portret	Portrait
Portsmouth	Portsmouth
Portugalia	Portugal
Kategoria:Portugalia	Portugal
Posejdon	Poseidon
Pozyton	Positron
Znaczek pocztowy	Postage stamp
Kod pocztowy	Postal code
Postmodernizm (filozofia)	Postmodernism
Potas	Potassium
Azotan potasu	Potassium nitrate
Ziemniak	Potato
Energia potencjalna	Potential energy
Poczdam	Potsdam
Funt	Pound (mass)
Funt szterling	Pound sterling
Bieda	Poverty
Moc	Power (physics)
Elektrownia	Power station
Pretor	Praetor
Praga	Prague
Kategoria:Praga	Prague
Praia	Praia
Prazeodym	Praseodymium
Modlitwa	Prayer
Prekambr	Precambrian
Precesja	Precession
Opad atmosferyczny	Precipitation (meteorology)
Ciąża	Pregnancy
Prehistoria	Prehistory
Kategoria:Prehistoria	Prehistory
Prezydent	President
Prezydenci USA	President of the United States
Ciśnienie	Pressure
Pretoria	Pretoria
Priam	Priam
Cena (ekonomia)	Price
Kapłan	Priest
Naczelne	Primate
Kategoria:Naczelne	Primates
Południk zerowy	Prime Meridian
Premier	Prime minister
Liczby pierwsze	Prime number
Wyspa Księcia Edwarda	Prince Edward Island
Filip Mountbatten, książę Edynburga	Prince Philip
Książę Walii	Prince of Wales
Uniwersytet Princeton	Princeton University
Teoria względności	Principle of relativity
Druk	Printing
Priony	Prion
Graniastosłup	Prism (geometry)
Pryzmat	Prism (optics)
Zakład karny	Prison
Jeniec wojenny	Prisoner of war
Nagroda Goncourtów	Prix Goncourt
Prawdopodobieństwo	Probability
Teoria prawdopodobieństwa	Probability theory
Kategoria:Rachunek prawdopodobieństwa	Probability theory
Szopowate	Procyonidae
Profesor	Professor
Zysk (ekonomia)	Profit
Programista	Programmer
Język programowania	Programming language
Rock progresywny	Progressive rock
Projekt (zarządzanie)	Project
Prokarioty	Prokaryote
Prolog (język programowania)	Prolog
Prometeusz (mitologia)	Prometheus
Promet	Promethium
Zaimek	Pronoun
Propaganda	Propaganda
Propan	Propane
Prorok	Prophet
Proza	Prose
Prostata	Prostate
Protaktyn	Protactinium
Protektorat	Protectorate
Białka	Protein
Proterozoik	Proterozoic
Reformacja	Protestant Reformation
Protestantyzm	Protestantism
Protisty	Protist
Kategoria:Protisty	Protista
Protokół	Protocol
Proton	Proton
Protisty zwierzęce	Protozoa
Providence (Rhode Island)	Providence
Proxima Centauri	Proxima Centauri
Śliwa	Prunus
Prusy (państwo)	Prussia
Księga Psalmów	Psalms
Pseudonim	Pseudonym
Kategoria:Pseudonauka	Pseudoscience
Pseudonauka	Pseudoscience
Psi (litera)	Psi (letter)
Łuszczyca	Psoriasis
Psychiatria	Psychiatry
Kategoria:Psychiatria	Psychiatry
Psychoanaliza	Psychoanalysis
Psychologia	Psychology
Kategoria:Psychologia	Psychology
Psychoza	Psychosis
Psychoterapia	Psychotherapy
Ptah	Ptah
Pterozaury	Pterosaur
Ptolemeusze	Ptolemaic dynasty
Klaudiusz Ptolemeusz	Ptolemy
Pokwitanie	Puberty
Domena publiczna	Public domain
Public relations	Public relations
Portoryko	Puerto Rico
Kategoria:Portoryko	Puerto Rico
Pula	Pula
Krążek linowy	Pulley
Pulsar	Pulsar
Pompa	Pump
Interpunkcja	Punctuation
Pendżab (stan w Indiach)	Punjab (India)
Kategoria:Punk	Punk
Źrenica	Pupil
Rufa (gwiazdozbiór)	Puppis
Pjongjang	Pyongyang
Piramida	Pyramid
Ostrosłup	Pyramid (geometry)
Pireneje	Pyrenees
Piryt	Pyrite
Pyrrusowe zwycięstwo	Pyrrhic victory
Pitagoras	Pythagoras
Python	Python (programming language)
Kompas (gwiazdozbiór)	Pyxis
Q	Q
Katar	Qatar
Kategoria:Katar	Qatar
Dynastia Qin	Qin Dynasty
Mandżurska dynastia Qing	Qing Dynasty
Równanie kwadratowe	Quadratic equation
Czworokąt	Quadrilateral
Kwestor	Quaestor
Kwantowa teoria pola	Quantum field theory
Mechanika kwantowa	Quantum mechanics
Kategoria:Mechanika kwantowa	Quantum mechanics
Kwarantanna (medycyna)	Quarantine
Kwark	Quark
Kwarc	Quartz
Kwazar	Quasar
Czwartorzęd	Quaternary
Kwaterniony	Quaternion
Quebec	Quebec
Kategoria:Quebec	Quebec
Québec (miasto)	Quebec City
Język keczua	Quechua
Hetman (szachy)	Queen (chess)
Queens (dzielnica)	Queens
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Pytajnik	Question mark
Quetzalcoatl	Quetzalcoatl
Pigwa pospolita	Quince
Quito	Quito
R	R
RAF	RAF (disambiguation)
RAID	RAID
Kwasy rybonukleinowe	RNA
Re (bóg)	Ra
Rabat (Maroko)	Rabat
Rabin	Rabbi
Rabindranath Tagore	Rabindranath Tagore
Jenot	Raccoon Dog
Rasa	Race
Rachel Carson	Rachel Carson
Rasizm	Racism
Radar	Radar
Radian	Radian
Kategoria:Radio	Radio
Radioteleskop	Radio telescope
Radioaktywność	Radioactive decay
Datowanie radiowęglowe	Radiocarbon dating
Radiologia	Radiology
Rad (pierwiastek)	Radium
Promień	Radius
Radon	Radon
Deszcz	Rain
Tęcza	Rainbow
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh (Karolina Północna)	Raleigh
Ralph Waldo Emerson	Ralph Waldo Emerson
Rama (Bóg)	Rama
Ramadan	Ramadan
Ramajana	Ramayana
Ramzes II	Ramesses II
Pamięć o dostępie swobodnym	Random access memory
Jaskrowate	Ranunculaceae
Zgwałcenie	Rape
Kapusta rzepak	Rapeseed
Rafael Santi	Raphael
Archanioł Rafael	Raphael (archangel)
Kategoria:Metro	Rapid transit
Malina (roślina)	Raspberry
Szczur	Rat
Liczby wymierne	Rational number
Bezgrzebieniowce	Ratite
Rawenna	Ravenna
Rawalpindi	Rawalpindi
Ray Bradbury	Ray Bradbury
Pamięć tylko do odczytu	Read-only memory
Liczby rzeczywiste	Real number
Recesja (ekonomia)	Recession
Recife	Recife
Prostokąt	Rectangle
Prostownik	Rectifier
Rekurencja	Recursion
Recykling	Recycling
Barwa czerwona	Red
Frakcja Czerwonej Armii	Red Army Faction
Jeleń szlachetny	Red Deer
Lis rudy	Red Fox
Panda mała	Red Panda
Morze Czerwone	Red Sea
Krasnorosty	Red algae
Erytrocyt	Red blood cell
Czerwony karzeł	Red dwarf
Czerwony olbrzym	Red giant
Przesunięcie ku czerwieni	Redshift
Przesunięcie ku czerwieni	Redshift (disambiguation)
RISC	Reduced instruction set computer
Referendum	Referendum
Refrakcja	Refraction
Współczynnik załamania	Refractive index
Uchodźca	Refugee
Regent	Regent
Reggae	Reggae
Pułk	Regiment
Regina (Saskatchewan)	Regina
Region (geografia)	Region
Reims	Reims
Reinkarnacja	Reincarnation
Renifer	Reindeer
Relacja (matematyka)	Relation (mathematics)
Relatywizm	Relativism
Kategoria:Teoria względności	Relativity
Przekaźnik	Relay
Religia	Religion
Kategoria:Religie	Religion
Kwakrzy	Religious Society of Friends
Rembrandt	Rembrandt
Renesans	Renaissance
Kategoria:Renesans	Renaissance
Rozmnażanie	Reproduction
Gady	Reptile
Republika	Republic
Republika Chińska	Republic of China
Irlandia	Republic of Ireland
Kategoria:Irlandia	Republic of Ireland
Kongo	Republic of the Congo
Kategoria:Kongo	Republic of the Congo
Partia Republikańska (USA)	Republican Party (United States)
Requiem (muzyka)	Requiem
Opornik	Resistor
Układ oddechowy	Respiratory system
Restauracja (lokal gastronomiczny)	Restaurant
Sieć (gwiazdozbiór)	Reticulum
Siatkówka (anatomia)	Retina
Witamina A	Retinol
Rewolucja	Revolution
Rewolwer	Revolver
Rea (księżyc)	Rhea (moon)
Rea (mitologia)	Rhea (mythology)
Ren (pierwiastek)	Rhenium
Retoryka	Rhetoric
Kategoria:Retoryka	Rhetoric
Ren	Rhine
Nosorożce	Rhinoceros
Rho (litera)	Rho (letter)
Rhode Island	Rhode Island
Kategoria:Rhode Island	Rhode Island
Rodos (wyspa)	Rhodes
Rod (pierwiastek)	Rhodium
Romb	Rhombus
Rym	Rhyme
Rytm	Rhythm
Rhythm and blues	Rhythm and blues
Żebra (anatomia)	Rib
Witamina B2	Riboflavin
Rybosom	Ribosome
Ryż siewny	Rice
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright (muzyk)	Richard Wright (musician)
Richmond (Wirginia)	Richmond
Ryga	Riga
Rigel	Rigel
Rektascensja	Right ascension
Pierścień (matematyka)	Ring (mathematics)
Ringo Starr	Ringo Starr
Rio Grande (rzeka w Ameryce Północnej)	Rio Grande
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (stan)	Rio de Janeiro (state)
Rzeka	River
Tamiza	River Thames
Rijad	Riyadh
Droga (komunikacja)	Road
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert A. Heinlein
Robert Millikan	Robert Andrews Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert E. Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Julius Robert Oppenheimer	Robert Oppenheimer
Robert Owen	Robert Owen
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Papier, kamień, nożyce	Rock
Skała	Rock (geology)
Rock and roll	Rock and roll
Rock	Rock music
Kategoria:Rock	Rock music
Rakieta (lotnictwo)	Rocket
Góry Skaliste	Rocky Mountains
Rokoko	Rococo
Gryzonie	Rodent
Sarna	Roe Deer
Roentgen (pierwiastek)	Roentgenium
Roger Bacon	Roger Bacon
Łaciński Kościół katolicki	Roman Catholic Church
Cesarstwo rzymskie	Roman Empire
Republika rzymska	Roman Republic
Kalendarz rzymski	Roman calendar
Prawo rzymskie	Roman law
Legion	Roman legion
Mitologia rzymska	Roman mythology
Kategoria:Mitologia rzymska	Roman mythology
Rumunia	Romania
Kategoria:Rumunia	Romania
Język romansz	Romansh
Romantyzm	Romanticism
Rzym	Rome
Kategoria:Rzym	Rome
Ronald Reagan	Ronald Reagan
Dach	Roof
Gawron	Rook (bird)
Wieża (szachy)	Rook (chess)
Roosevelt	Roosevelt
Korzeń	Root
Rosa Parks	Rosa Parks
Różowate	Rosaceae
Różowce	Rosales
Rosario	Rosario
Różaniec	Rosary
Róża	Rose
Roseau	Roseau
Rozmaryn lekarski	Rosemary
Kamień z Rosetty	Rosetta Stone
Rosz ha-Szana	Rosh Hashanah
Morze Rossa	Ross Sea
Rostock	Rostock
Wrotki (biologia)	Rotifer
Rotterdam	Rotterdam
Router	Router
Wioślarstwo	Rowing (sport)
Royal Air Force	Royal Air Force
Royal Society	Royal Society
Guma	Rubber
Rubikon	Rubicon
Rubid	Rubidium
Rubel	Ruble
Malina właściwa	Rubus idaeus
Rubin	Ruby
Ruby (język programowania)	Ruby (programming language)
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Hess
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Rugby (sport)	Rugby football
Rupert Murdoch	Rupert Murdoch
Rosja	Russia
Kategoria:Rosja	Russia
Rosyjski Kościół Prawosławny	Russian Orthodox Church
Rewolucje w Rosji 1917 roku	Russian Revolution (1917)
Wojna rosyjsko-japońska	Russo-Japanese War
Ruten	Ruthenium
Rutherford Hayes	Rutherford B. Hayes
Rutherford (pierwiastek)	Rutherfordium
Rwanda	Rwanda
Kategoria:Rwanda	Rwanda
Żyto	Rye
S	S
SOAP	SOAP
SOS	SOS
Sakrament	Sacrament
Sacramento (Kalifornia)	Sacramento
Saddam Husajn	Saddam Hussein
Safari (program)	Safari (web browser)
Szafran	Saffron
Strzała (gwiazdozbiór)	Sagitta
Strzelec (gwiazdozbiór)	Sagittarius (constellation)
Sahara	Sahara
Żagiel	Sail
Święty	Saint
Andrzej Apostoł	Saint Andrew
Święty Jerzy	Saint George
Saint Kitts i Nevis	Saint Kitts and Nevis
Kategoria:Saint Kitts i Nevis	Saint Kitts and Nevis
Rzeka Świętego Wawrzyńca	Saint Lawrence River
Saint Lucia	Saint Lucia
Kategoria:Saint Lucia	Saint Lucia
Sint Maarten (wyspa)	Saint Martin
Mikołaj z Miry	Saint Nicholas
Święty Patryk	Saint Patrick
Saint Paul	Saint Paul
Piotr Apostoł	Saint Peter
Sankt Petersburg	Saint Petersburg
Kategoria:Sankt Petersburg	Saint Petersburg
Saint Vincent i Grenadyny	Saint Vincent and the Grenadines
Kategoria:Saint Vincent i Grenadyny	Saint Vincent and the Grenadines
Sake	Sake
Saladyn	Saladin
Salat	Salah
Płazy ogoniaste	Salamander
Salem (Oregon)	Salem
Salerno	Salerno
Ślina	Saliva
Salman Rushdie	Salman Rushdie
Łososiowate	Salmonidae
Sól kuchenna	Salt
Sole	Salt (chemistry)
Salt Lake City	Salt Lake City
Salvador	Salvador
Salzburg	Salzburg
Salzburg (kraj związkowy)	Salzburg (state)
Samara (miasto)	Samara
Samar	Samarium
Samarkanda	Samarkand
Samoa	Samoa
Kategoria:Samoa	Samoa
Samsara	Samsara
Samuel Beckett	Samuel Beckett
Samuel Finley Breese Morse	Samuel F. B. Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
Samuraj	Samurai
San Antonio (Teksas)	San Antonio
San Diego	San Diego
San Francisco	San Francisco
San José (Kalifornia)	San Jose
San Juan	San Juan
San Marino	San Marino
Kategoria:San Marino	San Marino
San Marino (miasto)	San Marino
San Salvador (miasto w Salwadorze)	San Salvador
Piasek	Sand
Sandro Botticelli	Sandro Botticelli
Piaskowiec	Sandstone
Kanapka	Sandwich
Sanskryt	Sanskrit
Święty Mikołaj (postać baśniowa)	Santa Claus
Santa Fe (Nowy Meksyk)	Santa Fe
Santiago de Chile	Santiago
Santiago	Santiago
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo
Santos	Santos (Săo Paulo)
Szafir	Sapphire
Safona	Sappho
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajewo	Sarajevo
Saratów	Saratov
Sarkofag	Sarcophagus
Sardynka	Sardine
Sardynia	Sardinia
Sari (miasto w Iranie)	Sari
Sarin	Sarin
Saskatchewan	Saskatchewan
Sztuczny satelita	Satellite
Satyra	Satire
Sobota	Saturday
Saturn	Saturn
Kategoria:Saturn	Saturn
Saturn (ujednoznacznienie)	Saturn (disambiguation)
Saturn (mitologia)	Saturn (mythology)
Satyr	Satyr
Sos	Sauce
Arabia Saudyjska	Saudi Arabia
Kategoria:Arabia Saudyjska	Saudi Arabia
Saul Bellow	Saul Bellow
Wędliny	Sausage
Sawanna	Savanna
Saksonia	Saxony
Kategoria:Saksonia	Saxony
Saksofon	Saxophone
Skandynawia	Scandinavia
Kategoria:Skandynawia	Scandinavia
Półwysep Skandynawski	Scandinavian Peninsula
Skand	Scandium
Łopatka	Scapula
Skalda	Scheldt
Scheme	Scheme (programming language)
Schizofrenia	Schizophrenia
Scholastyka (filozofia)	Scholasticism
Szkoła (oświata)	School
Schutzstaffel	Schutzstaffel
Nauka	Science
Kategoria:Nauka	Science
Fantastyka naukowa	Science fiction
Metoda naukowa	Scientific method
Naukowiec	Scientist
Scjentologia	Scientology
Scypion Afrykański Starszy	Scipio Africanus
Nożyczki	Scissors
Wiewiórkowate	Sciuridae
Skorpiony	Scorpion
Skorpion (gwiazdozbiór)	Scorpius
Szkocja	Scotland
Kategoria:Szkocja	Scotland
Sosna zwyczajna	Scots Pine
Język szkocki gaelicki	Scottish Gaelic
Skauting	Scouting
Scrabble	Scrabble
Śruba (złącze)	Screw
Wkrętak	Screwdriver
Moszna (anatomia)	Scrotum
Rzeźbiarz (gwiazdozbiór)	Sculptor (constellation)
Rzeźba	Sculpture
Kategoria:Rzeźba	Sculpture
Morze	Sea
Wydra morska	Sea Otter
Ukwiał	Sea anemone
Strzykwy	Sea cucumber
Poziom morza	Sea level
Morze Azowskie	Sea of Azov
Morze Japońskie	Sea of Japan
Morze Marmara	Sea of Marmara
Morze Ochockie	Sea of Okhotsk
Jeżowce	Sea urchin
Seaborg	Seaborgium
Konik morski	Seahorse
Wyszukiwarka internetowa	Search engine
Sears Tower	Sears Tower
Pora roku	Season
Seattle	Seattle
Sekunda	Second
II wyprawa krzyżowa	Second Crusade
Sobór Watykański II	Second Vatican Council
Druga zasada termodynamiki	Second law of thermodynamics
Sekta	Sect
Kategoria:Ochrona	Security
Skały osadowe	Sedimentary rock
Nasienie (botanika)	Seed
Segowia	Segovia
Sekwana	Seine
Sejsmologia	Seismology
Kategoria:Sejsmologia	Seismology
Selene	Selene
Selen	Selenium
Seleukos I Nikator	Seleucus I Nicator
Semantyka	Semantics
Sperma	Semen
Średnik	Semicolon
Półprzewodniki	Semiconductor
Semiotyka (językoznawstwo)	Semiotics
Ludy semickie	Semitic
Senegal	Senegal
Kategoria:Senegal	Senegal
Seul	Seoul
Seppuku	Seppuku
Wrzesień	September
11 września	September 11
Zamach na World Trade Center i Pentagon	September 11
17 września	September 17
29 września	September 29
Septuaginta	Septuagint
Ciąg (matematyka)	Sequence
Serbia	Serbia
Kategoria:Serbia	Serbia
Serbia i Czarnogóra	Serbia and Montenegro
Kategoria:Serbia i Czarnogóra	Serbia and Montenegro
Pańszczyzna	Serfdom
Siergiej Eisenstein	Sergei Eisenstein
Siergiej Rachmaninow	Sergei Rachmaninoff
Szereg (matematyka)	Series (mathematics)
Seryna	Serine
Serotonina	Serotonin
Wąż (gwiazdozbiór)	Serpens
Serwer	Server (computing)
Zbiór	Set
Set (bóg)	Set (mythology)
Teoria mnogości	Set theory
Kategoria:Teoria mnogości	Set theory
Sewastopol	Sevastopol
Wojna siedmioletnia	Seven Years' War
SARS (choroba)	Severe acute respiratory syndrome
Sewilla	Seville
Płeć	Sex
Seksizm	Sexism
Sekstant	Sextant
Stosunek płciowy	Sexual intercourse
Kategoria:Seksualność	Sexuality
Choroby przenoszone drogą płciową	Sexually transmitted disease
Seszele	Seychelles
Kategoria:Seszele	Seychelles
Szach (władca)	Shah
Szahada	Shahadah
Szamanizm	Shamanism
Szanghaj	Shanghai
Akcja (prawo)	Share (finance)
Shareware	Shareware
Szariat	Sharia
Rekiny	Shark
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Szetlandy	Shetland
Tarcza (uzbrojenie)	Shield
Sikoku	Shikoku
Shintō	Shinto
Statek wodny	Ship
Śiwa	Shiva
Shōgi	Shogi
Shōgun	Shogun
Stenografia	Shorthand
Krewetki	Shrimp
Krzew	Shrub
Syberia	Siberia
Siberian Husky	Siberian Husky
Syczuan	Sichuan
Sycylia	Sicily
Kategoria:Sycylia	Sicily
Simens	Siemens (unit)
Sierra Leone	Sierra Leone
Kategoria:Sierra Leone	Sierra Leone
Sigma	Sigma
Zygmunt Freud	Sigmund Freud
Język migowy	Sign language
Sigrid Undset	Sigrid Undset
Sikhizm	Sikhism
Sikkim	Sikkim
Śląsk	Silesia
Krzem	Silicon
Dolina Krzemowa	Silicon Valley
Ditlenek krzemu	Silicon dioxide
Jedwab	Silk
Jedwabny szlak	Silk Road
Sylur	Silurian
Srebro	Silver
Simone de Beauvoir	Simone de Beauvoir
Grzech	Sin
Synaj (półwysep)	Sinai Peninsula
Sinclair Lewis	Sinclair Lewis
Singapur	Singapore
Kategoria:Singapur	Singapore
Singel (muzyka)	Single (music)
Syrena (mitologia)	Siren
Syreny	Sirenia
Syriusz	Sirius
Kaplica Sykstyńska	Sistine Chapel
Syzyf	Sisyphus
Siedzący Byk	Sitting Bull
Sitcom	Situation comedy
Wojna sześciodniowa	Six-Day War
Skagerrak	Skagerrak
Deskorolka	Skateboard
Kategoria:Układ kostny człowieka	Skeletal system
Sceptycyzm	Skepticism
Skóra	Skin
Skinhead	Skinhead
Skopje	Skopje
Czaszka	Skull
Skylab	Skylab
Wieżowiec	Skyscraper
Slash	Slash (musician)
Niewolnictwo	Slavery
Slayer	Slayer
Sen	Sleep
Słowacja	Slovakia
Kategoria:Słowacja	Slovakia
Słowenia	Slovenia
Kategoria:Słowenia	Slovenia
Jelito cienkie	Small intestine
Smog	Smog
Smoleńsk	Smolensk
Węże	Snake
Snooker	Snooker
Śnieg	Snow
Mydła	Soap
Psychologia społeczna	Social psychology
Socjalizm	Socialism
Kategoria:Socjalizm	Socialism
Partia Socjalistyczna (Francja)	Socialist Party (France)
Kategoria:Społeczeństwo	Society
Społeczeństwo	Society
Jezuici	Society of Jesus
Socjolingwistyka	Sociolinguistics
Socjologia	Sociology
Kategoria:Socjologia	Sociology
Sokrates	Socrates
Sód	Sodium
Wodorowęglan sodu	Sodium bicarbonate
Chlorek sodu	Sodium chloride
Wodorotlenek sodu	Sodium hydroxide
Sofia	Sofia
Softball	Softball
Kategoria:Oprogramowanie	Software
Gleba	Soil
Psiankowate	Solanaceae
Kategoria:Psiankowate	Solanaceae
Układ Słoneczny	Solar System
Kategoria:Układ Słoneczny	Solar System
Ogniwo słoneczne	Solar cell
Zaćmienie Słońca	Solar eclipse
Energetyka słoneczna	Solar energy
Wiatr słoneczny	Solar wind
Ciało stałe	Solid
Niezależny Samorządny Związek Zawodowy "Solidarność"	Solidarity
Salomon (król Izraela)	Solomon
Wyspy Salomona	Solomon Islands
Kategoria:Wyspy Salomona	Solomon Islands
Solon	Solon
Przesilenie	Solstice
Roztwór	Solution
Rozpuszczalnik	Solvent
Somalia	Somalia
Kategoria:Somalia	Somalia
Hrabstwo Somerset (Anglia)	Somerset
Somme	Somme
Sonata	Sonata
Piosenka	Song
Pieśń nad pieśniami	Song of Solomon
Sonet	Sonnet
Sophia Loren	Sophia Loren
Sofiści	Sophism
Sofokles	Sophocles
Sopran	Soprano
Sorbona	Sorbonne
Sorgo	Sorghum
Sortowanie	Sorting algorithm
Dusza	Soul
Dźwięk	Sound
Zupa	Soup
Kod źródłowy	Source code
Południe	South
Kategoria:Republika Południowej Afryki	South Africa
Ameryka Południowa	South America
Kategoria:Ameryka Południowa	South America
Australia Południowa	South Australia
Karolina Południowa	South Carolina
Kategoria:Karolina Południowa	South Carolina
Morze Południowochińskie	South China Sea
Dakota Południowa	South Dakota
Kategoria:Dakota Południowa	South Dakota
Wyspa Południowa (Nowa Zelandia)	South Island
Korea Południowa	South Korea
Kategoria:Korea Południowa	South Korea
Biegun południowy	South Pole
Wietnam Południowy	South Vietnam
Azja Południowo-Wschodnia	Southeast Asia
Półkula południowa	Southern Hemisphere
Suwerenność	Sovereignty
Związek Socjalistycznych Republik Radzieckich	Soviet Union
Kategoria:ZSRR	Soviet Union
Soja	Soybean
Przestrzeń	Space
Program lotów wahadłowców	Space Shuttle
Stacja orbitalna	Space station
Statek kosmiczny	Spacecraft
Spaghetti	Spaghetti
Hiszpania	Spain
Kategoria:Hiszpania	Spain
Spam	Spam (electronic)
Hiszpańska wojna domowa	Spanish Civil War
Kategoria:Hiszpanie	Spanish people
Wojna amerykańsko-hiszpańska	Spanish-American War
Sparta	Sparta
Włócznia	Spear
Szczególna teoria względności	Special relativity
Gatunek (biologia)	Species
Spektroskopia	Spectroscopy
Szybkość	Speed
Prędkość światła	Speed of light
Speleologia	Speleology
Spencer Tracy	Spencer Tracy
Kaszalot	Sperm Whale
Rośliny nasienne	Spermatophyte
Plemnik	Spermatozoon
Sfera	Sphere
Sfinks	Sphinx
Przyprawa	Spice
Pająki	Spider
Spin (fizyka)	Spin (physics)
Szpinak	Spinach
Rdzeń kręgowy	Spinal cord
Galaktyka spiralna	Spiral galaxy
Śledziona	Spleen
Split (miasto)	Split
Gąbki	Sponge
Sport	Sport
Arkusz kalkulacyjny	Spreadsheet
Sprewa	Spree
Wiosna	Spring (season)
Springfield (Illinois)	Springfield
Spyware	Spyware
Łuskonośne	Squamata
Kwadrat	Square (geometry)
Metr kwadratowy	Square metre
Squash	Squash (sport)
Wiewiórka	Squirrel
Sri Lanka	Sri Lanka
Kategoria:Sri Lanka	Sri Lanka
Saint Louis (Missouri)	St. Louis
Stadion	Stadium
Witraż	Stained glass
Stal nierdzewna	Stainless steel
Stalinizm	Stalinism
Standard Generalized Markup Language	Standard Generalized Markup Language
Odchylenie standardowe	Standard deviation
Uniwersytet Stanforda	Stanford University
Stanley Kubrick	Stanley Kubrick
Gwiazda	Star
Gwiazda Dawida	Star of David
Skrobia	Starch
Rozgwiazdy	Starfish
Państwo	State
Staten Island	Staten Island
Mechanika statystyczna	Statistical mechanics
Statystyka	Statistics
Kategoria:Statystyka	Statistics
Statua Wolności	Statue of Liberty
Stavanger	Stavanger
Silnik parowy	Steam engine
Stal	Steel
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegozaur	Stegosaurus
Komórki macierzyste	Stem cell
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Step	Steppe
Steradian	Steradian
Mostek (anatomia człowieka)	Sternum
Steroidy	Steroid
Steven Spielberg	Steven Spielberg
Sting	Sting
Giełda	Stock exchange
Sztokholm	Stockholm
Stoicyzm	Stoicism
Żołądek	Stomach
Epoka kamienia	Stone Age
Stonehenge	Stonehenge
Bocianowate	Stork
Sztorm (meteorologia)	Storm
Cieśnina	Strait
Cieśnina Gibraltarska	Strait of Gibraltar
Ormuz (cieśnina)	Strait of Hormuz
Cieśnina Magellana	Strait of Magellan
Cieśnina Mesyńska	Strait of Messina
Kategoria:Cieśniny	Straits
Strasburg	Strasbourg
Strategia organizacji	Strategy
Stratygrafia	Stratigraphy
Stratosfera	Stratosphere
Poziomka	Strawberry
Stres	Stress (medicine)
Teoria strun	String theory
Udar mózgu	Stroke
Oddziaływanie silne	Strong interaction
Stront	Strontium
Strukturalizm (językoznawstwo)	Structuralism
Szablon:Stub	Stub
Student	Student
Stupa	Stupa
Sturmabteilung	Sturmabteilung
Stuttgart	Stuttgart
Styks	Styx
Czarna Afryka	Sub-Saharan Africa
Subkultura	Subculture
Sublimacja (fizyka)	Sublimation (chemistry)
Okręt podwodny	Submarine
Podzbiór	Subset
Odejmowanie	Subtraction
Subversion	Subversion (software)
Sucre (miasto)	Sucre
Sacharoza	Sucrose
Sudan	Sudan
Kategoria:Sudan	Sudan
Sudoku	Sudoku
Kanał Sueski	Suez Canal
Przyrostek	Suffix
Sufizm	Sufism
Cukier spożywczy	Sugar
