English	Hebrew
Pittsburgh	פיטסבורג
Pituitary gland	בלוטת יותרת המוח
Pixel	פיקסל
Pizza	פיצה
Plagiarism	גניבה ספרותית
Plane (mathematics)	מישור (גאומטריה)
Planet	כוכב לכת
Planetary nebula	ערפילית פלנטרית
Plankton	פלנקטון
Plant	צומח
Plasma (physics)	פלזמה (מצב צבירה)
Plasmid	פלסמיד
Plastic	פלסטיק
Plate tectonics	טקטוניקת הלוחות
Platelet	טסית דם
Platinum	פלטינה
Plato	אפלטון
Platypus	ברווזן
Playboy	פלייבוי
Playing card	קלף משחק
Pleiades (star cluster)	פליאדות (צביר כוכבים)
Pleistocene	פליסטוקן
Pleven	פלבן
Pliny the Elder	פליניוס הזקן
Pliny the Younger	פליניוס הצעיר
Pliocene	פליוקן
Plotinus	פלוטינוס
Plovdiv	פלובדיב
Plum	שזיף
Plutarch	פלוטארכוס
Pluto	פלוטו
Pluto (disambiguation)	פלוטו (פירושונים)
Plutonium	פלוטוניום
Pneumonia	דלקת ריאות
Po River	פו (נהר)
Poaceae	דגניים
Podcast	פודקאסט
Poetry	שירה
Poetry	קטגוריה:שירה
Pogrom	פוגרום
Point (geometry)	נקודה (גאומטריה)
Poison	רעל
Poker	פוקר
Poland	פולין
Poland	קטגוריה:פולין
Polar bear	דוב קוטב
Polaris	כוכב הצפון
Police	משטרה
Poliomyelitis	שיתוק ילדים
Political party	מפלגה
Political science	מדע המדינה
Political science	קטגוריה:מדע המדינה
Politician	פוליטיקאי
Politics	פוליטיקה
Politics	קטגוריה:פוליטיקה
Pollen	אבקה (בוטניקה)
Pollination	האבקה
Pollution	זיהום הסביבה
Polo	פולו
Polonium	פולוניום
Polygamy	פוליגמיה
Polygon	מצולע
Polyhedron	פאון
Polyhymnia	פוליהימניה
Polymer	פולימר
Polynesia	פולינזיה
Polynomial	פולינום
Polytheism	פוליתאיזם
Polyvinyl chloride	פוליוויניל כלוריד
Pomegranate	רימון מצוי
Pomelo	פומלו
Pompeii	פומפיי
Pompey	גניאוס פומפיוס מגנוס
Pontius Pilate	פונטיוס פילאטוס
Pop art	פופ ארט
Pop music	מוזיקת פופ
Pope	אפיפיור
Pope Alexander VI	אלכסנדר השישי
Poplar	צפצפה (עץ)
Population	אוכלוסייה
Populism	פופוליזם
Porcelain	חרסינה
Pornography	פורנוגרפיה
Port	נמל
Port Louis	פור לואי
Port Moresby	פורט מורסבי
Port Vila	פורט וילה
Port of Spain	פורט אוף ספיין
Port-au-Prince	פורט-או-פרנס
Portland	פורטלנד (אורגון)
Portland	פורטלנד
Porto	פורטו
Portrait	דיוקן
Portugal	פורטוגל
Portugal	קטגוריה:פורטוגל
Poseidon	פוסידון
Positron	פוזיטרון
Postage stamp	בול דואר
Postal code	מיקוד (דואר)
Postmodernism	פוסטמודרניזם
Potassium	אשלגן
Potassium nitrate	אשלגן חנקתי
Potato	תפוח אדמה
Potential energy	אנרגיה פוטנציאלית
Potsdam	פוטסדאם
Pound sterling	לירה שטרלינג
Poverty	עוני
Power (physics)	הספק
Power station	תחנת כוח
Praetor	פראיטור
Prague	פראג
Prague	קטגוריה:פראג
Praia	פראיה
Praseodymium	פרסאודימיום
Prayer	תפילה
Precambrian	פרקמבריון
Precession	נקיפה
Precipitation (meteorology)	משקעים
Pregnancy	היריון
Prehistory	פרהיסטוריה
Prehistory	קטגוריה:פרהיסטוריה
President	נשיא
President of the United States	נשיא ארצות הברית
Pressure	לחץ
Pretoria	פרטוריה
Priam	פריאמוס
Price	מחיר
Primate	פרימטים
Primates	קטגוריה:פרימטים
Prime Meridian	קו גריניץ'
Prime minister	ראש ממשלה
Prime number	מספר ראשוני
Prince Edward Island	אי הנסיך אדוארד
Prince Philip	פיליפ, דוכס אדינבורו
Prince of Wales	נסיך ויילס
Princeton University	אוניברסיטת פרינסטון
Principle of relativity	תורת היחסות
Printing	דפוס
Prion	פריון
Prism (geometry)	מנסרה (גאומטריה)
Prism (optics)	מנסרה (אופטיקה)
Prison	בית סוהר
Prisoner of war	שבוי
Prix Goncourt	פרס גונקור
Probability	הסתברות
Probability theory	תורת ההסתברות
Probability theory	קטגוריה:תורת ההסתברות
Procyonidae	ראקוניים
Professor	פרופסור
Profit	רווח
Programmer	מתכנת
Programming language	שפת תכנות
Progressive rock	רוק מתקדם
Prokaryote	פרוקריוטיים
Prolog	פרולוג (שפת תכנות)
Prometheus	פרומתאוס
Promethium	פרומטיום
Pronoun	כינוי גוף
Propaganda	תעמולה
Propane	פרופאן
Prophet	נביא
Prose	סיפורת
Prostate	בלוטת הערמונית
Protactinium	פרוטקטיניום
Protectorate	מדינת חסות
Protein	חלבון
Proterozoic	פרוטרוזואיקון
Protestant Reformation	הרפורמציה הפרוטסטנטית
Protestantism	נצרות פרוטסטנטית
Protist	פרוטיסטים
Protista	קטגוריה:פרוטיסטה
Protocol	פרוטוקול
Proton	פרוטון
Providence	פרובידנס
Proxima Centauri	פרוקסימה קנטאורי
Prunus	פרונוס
Prussia	פרוסיה
Psalms	תהילים
Pseudonym	שם עט
Pseudoscience	קטגוריה:פסבדו-מדע
Pseudoscience	פסבדו-מדע
Psi (letter)	פסי
Psoriasis	פסוריאזיס
Psychiatry	פסיכיאטריה
Psychiatry	קטגוריה:פסיכיאטריה
Psychoanalysis	פסיכואנליזה
Psychology	פסיכולוגיה
Psychology	קטגוריה:פסיכולוגיה
Psychosis	פסיכוזה
Psychotherapy	טיפול פסיכולוגי
Pterosaur	פטרוזאוריה
Ptolemaic dynasty	בית תלמי
Ptolemy	תלמי (אסטרונום)
Puberty	התבגרות מינית
Public domain	רשות הציבור
Public relations	יחסי ציבור
Puerto Rico	פוארטו ריקו
Pulley	גלגלת
Pulsar	פולסר
Pump	משאבה
Punctuation	פיסוק
Punjab (India)	פנג'אב
Punk	קטגוריה:פאנק (Punk)
Punk rock	פאנק (Punk)
Puppis	ירכתי הספינה (קבוצת כוכבים)
Pyongyang	פיונגיאנג
Pyramid	פירמידה (מבנה)
Pyramid (geometry)	פירמידה (גאומטריה)
Pyrenees	הרי הפירינאים
Pyrite	פיריט
Pyrrhic victory	עוד ניצחון כזה ואבדנו
Pythagoras	פיתגורס
Python (programming language)	Python
Pyxis	מצפן (קבוצת כוכבים)
Q	Q
Qatar	קטאר
Qatar	קטגוריה:קטאר
Qing Dynasty	שושלת צ'ינג
Quadratic equation	משוואה ממעלה שנייה
Quadrilateral	מרובע
Quaestor	קוואיסטור
Quantum field theory	תורת השדות הקוונטית
Quantum mechanics	מכניקת הקוונטים
Quantum mechanics	קטגוריה:מכניקת הקוונטים
Quark	קווארק
Quartz	קוורץ
Quasar	קוואזר
Quaternary	רביעון
Quaternion	אלגברת הקווטרניונים של המילטון
Quebec	קוויבק
Quebec	קטגוריה:קוויבק
Quebec City	קוויבק סיטי
Quechua	קצ'ואה
Queen (chess)	מלכה (שחמט)
Queens	קווינס
Queensland	קווינסלנד
Quentin Tarantino	קוונטין טרנטינו
Question mark	סימן שאלה
Quince	חבוש
Quito	קיטו
R	R
RAID	RAID
RNA	RNA
Ra	רע (אל)
Rabat	רבאט
Rabbi	רב
Rabindranath Tagore	רבינדרנת טאגור
Raccoon Dog	שועל ראקון
Race	גזע (אדם)
Rachel Carson	רייצ'ל קרסון
Racism	גזענות
Racism	קטגוריה:גזענות
Radar	מכ"ם
Radian	רדיאן
Radio	קטגוריה:רדיו
Radio telescope	רדיו-טלסקופ
Radioactive decay	רדיואקטיביות
Radiocarbon dating	תיארוך פחמן-14
Radiology	רדיולוגיה
Radium	רדיום
Radius	רדיוס
Radon	רדון
Rain	גשם
Rainbow	קשת בענן
Rainer Maria Rilke	ריינר מריה רילקה
Raleigh	ראלי (קרוליינה הצפונית)
Ralph Waldo Emerson	ראלף ואלדו אמרסון
Ramadan	רמדאן
Ramayana	ראמאיאנה
Ramesses II	רעמסס השני
Random access memory	זיכרון גישה אקראית
Ranunculaceae	נוריתיים
Rape	אונס
Rapeseed	לפתית
Raphael	רפאל (צייר)
Raphael (archangel)	רפאל (מלאך)
Rapid transit	קטגוריה:רכבות תחתית
Rat	חולדה
Rational number	מספר רציונלי
Ravenna	רוונה
Rawalpindi	רוואלפינדי
Ray Bradbury	ריי ברדבורי
Read-only memory	Read-only Memory
Real number	מספר ממשי
Recession	מיתון
Recife	רסיפה
Rectangle	מלבן
Rectifier	מיישר זרם
Recursion	רקורסיה
Recycling	מיחזור
Red	אדום
Red Army Faction	סיעת הצבא האדום
Red Deer	אייל אציל
Red Fox	שועל מצוי
Red Panda	פנדה אדום
Red Sea	ים סוף
Red algae	אדומיות
Red blood cell	תא דם אדום
Red dwarf	ננס אדום
Red giant	ענק אדום
Redshift	הסחה לאדום
Redshift (disambiguation)	היסט לאדום
Referendum	משאל עם
Refraction	שבירה
Refractive index	מקדם שבירה
Refugee	פליט
Regent	עוצר (שליט)
Reggae	רגאיי
Regiment	רג'ימנט
Region	חבל ארץ
Reincarnation	גלגול נשמות
Reindeer	אייל הצפון
Relativism	רלטיביזם
Relativity	קטגוריה:תורת היחסות
Relay	ממסר
Religion	דת
Religion	קטגוריה:דתות
Religious Society of Friends	אגודת הידידים
Rembrandt	רמברנדט
Renaissance	רנסאנס
Reproduction	רבייה
Reptile	זוחלים
Republic	רפובליקה
Republic of China	הרפובליקה הסינית
Republic of Ireland	אירלנד
Republic of Ireland	קטגוריה:אירלנד
Republic of the Congo	הרפובליקה של קונגו
Republic of the Congo	קטגוריה:הרפובליקה של קונגו
Republican Party (United States)	המפלגה הרפובליקנית
Requiem	רקוויאם
Resistor	נגד
Respiratory system	מערכת הנשימה
Restaurant	מסעדה
Retina	רשתית
Retinol	ויטמין A
Revolution	מהפכה
Revolver	אקדח תופי
Rhea (moon)	ריאה (ירח)
Rhea (mythology)	ריאה (אלה)
Rhenium	רניום
Rhetoric	רטוריקה
Rhetoric	קטגוריה:רטוריקה
Rhine	ריין
Rhinoceros	קרנפיים
Rho (letter)	רו
Rhode Island	רוד איילנד
Rhode Island	קטגוריה:רוד איילנד
Rhodes	רודוס
Rhodium	רודיום
Rhombus	מעוין
Rhyme	חריזה
Rhythm	משקל (מוזיקה)
Rhythm and blues	רית'ם אנד בלוז
Rib	צלעות
Riboflavin	ויטמין B2
Ribosome	ריבוזום
Rice	אורז
Richard Feynman	ריצ'רד פיינמן
Richard Nixon	ריצ'רד ניקסון
Richard Strauss	ריכרד שטראוס
Richard Wagner	ריכרד וגנר
Richard Wright (musician)	ריצ'רד רייט
Richmond	ריצ'מונד
Riga	ריגה
Rigel	ריג'ל
Ring (mathematics)	חוג (מבנה אלגברי)
Ringo Starr	רינגו סטאר
Rio Grande	ריו גראנדה
Rio de Janeiro	ריו דה ז'ניירו
Rio de Janeiro (state)	ריו דה ז'ניירו (מדינה)
River	נהר
River Thames	תמזה
Riyadh	ריאד
Road	כביש
Roald Amundsen	רואלד אמונדסן
Robert A. Heinlein	רוברט היינליין
Robert Andrews Millikan	רוברט מיליקן
Robert Boyle	רוברט בויל
Robert Burns	רוברט ברנס
Robert De Niro	רוברט דה נירו
Robert E. Lee	רוברט לי
Robert Falcon Scott	רוברט פלקון סקוט
Robert Hooke	רוברט הוק
Robert Koch	רוברט קוך
Robert Louis Stevenson	רוברט לואיס סטיבנסון
Robert Oppenheimer	רוברט אופנהיימר
Robert Owen	רוברט אואן
Robert Redford	רוברט רדפורד
Robert Schumann	רוברט שומאן
Robin Hood	רובין הוד
Robot	רובוט
Rock	אבן נייר ומספריים
Rock (geology)	סלע
Rock and roll	רוק אנד רול
Rock music	רוק (מוזיקה)
Rock music	קטגוריה:רוק
Rocket	רקטה
Rocky Mountains	הרי הרוקי
Rococo	רוקוקו
Rodent	מכרסמים
Roe Deer	אייל הכרמל
Roentgenium	רנטגניום
Roger Bacon	רוג'ר בייקון
Roman Empire	הקיסרות הרומית
Roman Republic	הרפובליקה הרומית
Roman calendar	לוח השנה הרומי
Roman law	המשפט הרומי
Roman legion	לגיון
Roman mythology	מיתולוגיה רומית
Roman mythology	קטגוריה:מיתולוגיה רומית
Romania	רומניה
Romania	קטגוריה:רומניה
Romansh	רומאנש
Romanticism	רומנטיקה
Rome	רומא
Rome	קטגוריה:רומא
Ronald Reagan	רונלד רייגן
Roof	גג
Rook (bird)	עורב מזרע
Rook (chess)	צריח (שחמט)
Roosevelt	רוזוולט
Root	שורש (בוטניקה)
Rosa Parks	רוזה פארקס
Rosaceae	ורדיים
Rosales	ורדנאים
Rosario	רוסאריו
Rose	ורד
Roseau	רוזו
Rosemary	רוזמרין
Rosetta Stone	אבן רוזטה
Rosh Hashanah	ראש השנה
Ross Sea	ים רוס
Rotterdam	רוטרדם
Router	נתב
Rowing (sport)	חתירה (ספורט)
Royal Air Force	חיל האוויר המלכותי
Royal Society	החברה המלכותית
Rubber	גומי
Rubicon	רוביקון
Rubidium	רובידיום
Ruble	רובל
Rubus idaeus	פטל אדום
Ruby	אודם
Ruby (programming language)	Ruby
Rudolf Diesel	רודולף דיזל
Rudolf Hess	רודולף הס
Rudolf Steiner	רודולף שטיינר
Rudyard Kipling	רודיארד קיפלינג
Rugby football	רוגבי
Rupert Murdoch	רופרט מרדוק
Russia	רוסיה
Russia	קטגוריה:רוסיה
Russian Orthodox Church	הכנסייה הרוסית הפרבוסלבית
Russo-Japanese War	מלחמת רוסיה-יפן
Ruthenium	רותניום
Rutherford B. Hayes	רתרפורד הייז
Rutherfordium	רתרפורדיום
Rwanda	רואנדה
Rwanda	קטגוריה:רואנדה
Rye	שיפון (דגן)
S	S
SOAP	SOAP
SOS	SOS
Sacrament	סקרמנט
Sacramento	סקרמנטו
Saddam Hussein	סדאם חוסיין
Safari (web browser)	ספארי (דפדפן)
Saffron	זעפרן
Sagittarius (constellation)	קשת (קבוצת כוכבים)
Sahara	סהרה
Sail	מפרש
Saint	קדוש (נצרות)
Saint Andrew	אנדראס הקדוש
Saint George	גאורגיוס הקדוש
Saint Kitts and Nevis	סנט קיטס ונוויס
Saint Kitts and Nevis	קטגוריה:סנט קיטס ונוויס
Saint Lawrence River	סנט לורנס (נהר)
Saint Lucia	סנט לוסיה
Saint Lucia	קטגוריה:סנט לוסיה
Saint Martin	סן מרטן
Saint Patrick	פטריק הקדוש
Saint Paul	סיינט פול
Saint Peter	פטרוס
Saint Petersburg	סנקט פטרבורג
Saint Petersburg	קטגוריה:סנקט פטרבורג
Saint Vincent and the Grenadines	סנט וינסנט והגרנדינים
Saint Vincent and the Grenadines	קטגוריה:סנט וינסנט והגרנדינים
Sake	סאקה
Saladin	צלאח א-דין
Salah	צלאה
Salamander	בעלי זנב
Salem	סאלם (אורגון)
Saliva	רוק (ביולוגיה)
Salman Rushdie	סלמאן רושדי
Salt	מלח בישול
Salt (chemistry)	מלח (כימיה)
Salt Lake City	סולט לייק סיטי
Salvador	סלבדור (ברזיל)
Salzburg	זלצבורג
Salzburg (state)	זלצבורג (מדינה)
Samara	סמרה
Samarium	סמריום
Samarkand	סמרקנד
Samoa	סמואה
Samoa	קטגוריה:סמואה
Samsara	סמסרה
Samuel Beckett	סמואל בקט
Samuel F. B. Morse	סמואל מורס
Samuel Taylor Coleridge	סמואל טיילור קולרידג'
Samurai	סמוראי
San Antonio	סן אנטוניו
San Diego	סן דייגו
San Francisco	סן פרנסיסקו
San Jose	סן חוזה (קליפורניה)
San Juan	סן חואן
San Marino	סן מרינו
San Marino	קטגוריה:סן מרינו
San Marino	סן מרינו (עיר)
San Salvador	סן סלוודור
Sand	חול
Sandro Botticelli	סנדרו בוטיצ'לי
Sandstone	אבן חול
Sandwich	כריך
Sanskrit	סנסקריט
Santa Claus	סנטה קלאוס
Santa Fe	סנטה פה
Santiago	סנטיאגו דה צ'ילה
Santiago	סנטיאגו
Santiago de Cuba	סנטיאגו דה קובה
Santo Domingo	סנטו דומינגו
Santos (Săo Paulo)	סנטוס
Sapphire	ספיר
Sappho	סאפפו
Sarah Bernhardt	שרה ברנאר
Sarajevo	סראייבו
Saratov	סרטוב
Sarcophagus	סרקופג
Sardine	סרדין
Sardinia	סרדיניה
Sarin	סארין
Saskatchewan	ססקצ'ואן
Satan	שטן
Satellite	לוויין
Satire	סאטירה
Saturday	יום השבת
Saturn	שבתאי
Saturn	קטגוריה:שבתאי
Saturn (disambiguation)	סטורן
Satyr	סאטיר
Sauce	רוטב
Saudi Arabia	ערב הסעודית
Saudi Arabia	קטגוריה:ערב הסעודית
Saul Bellow	סול בלו
Sausage	נקניק
Savanna	סוואנה
Saxony	סקסוניה
Saxony	קטגוריה:סקסוניה
Saxophone	סקסופון
Scandinavia	סקנדינביה
Scandinavia	קטגוריה:סקנדינביה
Scandium	סקנדיום
Scapula	עצם השכם
Scheldt	סכלדה
Scheme (programming language)	Scheme
Schizophrenia	סכיזופרניה
Scholasticism	סכולסטיקה
School	בית ספר
Schutzstaffel	אס אס
Science	מדע
Science	קטגוריה:מדע וטכנולוגיה
Science fiction	מדע בדיוני
Science fiction	קטגוריה:מדע בדיוני
Scientific method	השיטה המדעית
Scientist	מדען
Scientology	סיינטולוגיה
Scipio Africanus	פובליוס קורנליוס סקיפיו אפריקנוס
Scissors	מספריים
Sciuridae	סנאיים
Scorpion	עקרבאים
Scorpius	עקרב (קבוצת כוכבים)
Scotland	סקוטלנד
Scotland	קטגוריה:סקוטלנד
Scottish Gaelic	גאלית סקוטית
Scouting	תנועת הצופים
Scrabble	שבץ נא
Screw	בורג
Screwdriver	מברג
Scrotum	כיס האשכים
Sculptor (constellation)	פסל (קבוצת כוכבים)
Sculpture	פיסול
Sculpture	קטגוריה:פיסול
Sea	ים
Sea Otter	לוטרת ים
Sea anemone	שושנות ים
Sea cucumber	מלפפון ים
Sea level	גובה פני הים
Sea of Azov	ים אזוב
Sea of Japan	ים יפן
Sea of Marmara	ים השיש
Sea of Okhotsk	ים אוחוצק
Sea urchin	קיפודי ים
Seaborgium	סיבורגיום
Seahorse	סוסון ים
Search engine	מנוע חיפוש
Sears Tower	מגדל סירס
Season	עונות השנה
Seattle	סיאטל
Second	שנייה
Second Crusade	מסע הצלב השני
Second Vatican Council	ועידת הוותיקן השנייה
Second law of thermodynamics	החוק השני של התרמודינמיקה
Sect	כת
Security	קטגוריה:אבטחה
Sedimentary rock	סלע משקע
Seed	זרע (בוטניקה)
Segovia	סגוביה
Seine	סן
Seismology	סייסמולוגיה
Seismology	קטגוריה:סייסמולוגיה
Selene	סלנה
Selenium	סלניום
Seleucus I Nicator	סלאוקוס הראשון
Semantics	סמנטיקה
Semantics	קטגוריה:סמנטיקה
Semicolon	נקודה ופסיק
Semiconductor	מוליך למחצה
Semiotics	סמיוטיקה
Senate	סנאט
Senegal	סנגל
Senegal	קטגוריה:סנגל
Seoul	סיאול
Seppuku	ספוקו
September	ספטמבר
September 11	11 בספטמבר
September 11	פיגועי 11 בספטמבר
September 17	17 בספטמבר
September 29	29 בספטמבר
Septuagint	תרגום השבעים
Sequence	סדרה
Serbia	סרביה
Serbia	קטגוריה:סרביה
Serbia and Montenegro	סרביה ומונטנגרו
Serbia and Montenegro	קטגוריה:סרביה ומונטנגרו
Serfdom	צמיתות
Sergei Eisenstein	סרגיי אייזנשטיין
Sergei Rachmaninoff	סרגיי רחמנינוב
Series (mathematics)	טור (מתמטיקה)
Serine	סרין
Serotonin	סרוטונין
Serpens	נחש (קבוצת כוכבים)
Server (computing)	שרת
Set	קבוצה (מתמטיקה)
Set (mythology)	סת
Set theory	תורת הקבוצות
Set theory	קטגוריה:תורת הקבוצות
Sevastopol	סבסטופול
Seven Years' War	מלחמת שבע השנים
Severe acute respiratory syndrome	סארס
Seville	סביליה
Sex	זוויג
Sexism	אפליה מינית
Sextant	סקסטנט
Sexual intercourse	יחסי מין
Sexuality	קטגוריה:מיניות
Sexually transmitted disease	מחלת מין
Seychelles	סיישל
Seychelles	קטגוריה:סיישל
Shah	שאה
Shahadah	שהאדה
Shamanism	שמאניזם
Shanghai	שאנגחאי
Share (finance)	מניה
Sharia	שריעה
Shark	כרישאים
Sheffield	שפילד
Sherlock Holmes	שרלוק הולמס
Shetland	איי שטלנד
Shield	מגן
Shinto	שינטו
Ship	ספינה
Shiva	שיווה
Shogi	שוגי
Shogun	שוגון
Shorthand	קצרנות
Shrimp	חסילונים
Shrub	שיח
Siberia	סיביר
Siberian Husky	האסקי סיבירי
Sichuan	סצ'ואן
Sicily	סיציליה
Sicily	קטגוריה:סיציליה
Siemens (unit)	סימנס
Sierra Leone	סיירה לאונה
Sierra Leone	קטגוריה:סיירה לאונה
Sigma	סיגמא
Sigmund Freud	זיגמונד פרויד
Sign language	שפת סימנים
Sigrid Undset	סיגריד אונדסט
Sikhism	סיקהיזם
Sikkim	סיקים
Silesia	שלזיה
Silicon	צורן
Silicon Valley	עמק הסיליקון
Silicon dioxide	צורן דו-חמצני
Silk	משי
Silk Road	דרך המשי
Silurian	סילור
Silver	כסף (יסוד)
Simone de Beauvoir	סימון דה בובואר
Sinai Peninsula	סיני
Sinclair Lewis	סינקלר לואיס
Singapore	סינגפור
Singapore	קטגוריה:סינגפור
Single (music)	סינגל
Siren	סירנה
Sirenia	תחשאים
Sirius	סיריוס
Sistine Chapel	הקפלה הסיסטינית
Sisyphus	סיזיפוס
Sitting Bull	שור יושב
Situation comedy	קומדיית מצבים
Six-Day War	מלחמת ששת הימים
Skateboard	סקייטבורד
Skeletal system	קטגוריה:מערכת השלד
Skepticism	ספקנות
Skin	עור
Skinhead	סקינהד
Skopje	סקופיה
Skull	גולגולת
Skylab	סקיילאב
Skyscraper	גורד שחקים
Slash (musician)	סלאש
Slavery	עבדות
Slayer	סלייר
Sleep	שינה
Slovakia	סלובקיה
Slovakia	קטגוריה:סלובקיה
Slovenia	סלובניה
Slovenia	קטגוריה:סלובניה
Small intestine	המעי הדק
Smog	ערפיח
Smolensk	סמולנסק
Snake	נחשים
Snow	שלג
Soap	סבון
Social psychology	פסיכולוגיה חברתית
Socialism	סוציאליזם
Socialism	קטגוריה:סוציאליזם
Socialist Party (France)	המפלגה הסוציאליסטית הצרפתית
Society	קטגוריה:חברה
Society	חברה
Society of Jesus	ישועים
Sociolinguistics	בלשנות חברתית
Sociology	סוציולוגיה
Sociology	קטגוריה:סוציולוגיה
Socrates	סוקרטס
Sodium	נתרן
Sodium bicarbonate	סודה לשתייה
Sodium chloride	מלח בישול
Sodium hydroxide	נתרן הידרוקסידי
Sofia	סופיה
Software	קטגוריה:תוכנה
Soil	קרקע
Solanaceae	סולניים
Solanaceae	קטגוריה:סולניים
Solar System	מערכת השמש
Solar System	קטגוריה:מערכת השמש
Solar cell	תא פוטו-וולטאי
Solar eclipse	ליקוי חמה
Solar energy	אנרגיה סולארית
Solar wind	רוח השמש
Solid	מוצק
Solid state	מוצק
Solidarity	סולידריות (תנועה)
Solomon	שלמה
Solomon Islands	איי שלמה
Solomon Islands	קטגוריה:איי שלמה
Solon	סולון
Solstice	מישור המילקה#.D7.A0.D7.A7.D7.95.D7.93.D7.95.D7.AA .D7.94.D7.A9.D7.95.D7.95.D7.99.D7.95.D7.9F .D7.95.D7.94.D7.94.D7.99.D7.A4.D7.95.D7.9A
Solution	תמיסה
Solvent	תמיסה#הממס
Somalia	סומליה
Somalia	קטגוריה:סומליה
Somme	סום
Sonata	סונאטה
Song of Solomon	שיר השירים
Sonnet	סונטה (שירה)
Sophia Loren	סופיה לורן
Sophism	סופיזם
Sophocles	סופוקלס
Soprano	סופרן
Sorbonne	סורבון
Sorghum	דורה
Sorting algorithm	מיון (מדעי המחשב)
Soul	נשמה
Sound	קול
Soup	מרק
Source code	קוד מקור
South	דרום
South Africa	קטגוריה:דרום אפריקה
South America	אמריקה הדרומית
South America	קטגוריה:אמריקה הדרומית
South Australia	אוסטרליה הדרומית
South Carolina	קרוליינה הדרומית
South Carolina	קטגוריה:קרוליינה הדרומית
South China Sea	ים סין הדרומי
South Dakota	דקוטה הדרומית
South Dakota	קטגוריה:דקוטה הדרומית
South Island	האי הדרומי
South Korea	קוריאה הדרומית
South Korea	קטגוריה:קוריאה הדרומית
South Pole	הקוטב הדרומי
Southeast Asia	דרום-מזרח אסיה
Southern Hemisphere	חצי הכדור הדרומי
Sovereignty	ריבונות
Soviet Union	ברית המועצות
Soviet Union	קטגוריה:ברית המועצות
Soybean	פולי סויה
Space	מרחב
Space Shuttle	מעבורת חלל
Space station	תחנת חלל
Spacecraft	חללית
Spaghetti	ספגטי
Spain	ספרד
Spain	קטגוריה:ספרד
Spam (electronic)	דואר זבל
Spanish Civil War	מלחמת האזרחים בספרד
Spanish people	קטגוריה:ספרדים
Spanish-American War	מלחמת ארצות הברית-ספרד
Sparta	ספרטה
Spear	חנית
Special relativity	תורת היחסות הפרטית
Species	מין (טקסונומיה)
Spectroscopy	ספקטרוסקופיה
Speed	מהירות
Speed of light	מהירות האור
Speleology	ספלאולוגיה
Spencer Tracy	ספנסר טרייסי
Sperm Whale	ראשתן גדול ראש
Spermatophyte	צמחי זרע
Spermatozoon	תא זרע
Sphere	ספירה (גאומטריה)
Sphinx	ספינקס
Spice	תבלין
Spider	עכבישאים
Spin (physics)	ספין
Spinach	תרד
Spinal cord	חוט השדרה
Spiral galaxy	גלקסיה ספירלית
Spleen	טחול
Split	ספליט
Sponge	ספוגיים
Sport	ספורט
Spreadsheet	גיליון אלקטרוני
Spree	שפרה
Spring (season)	אביב
Springfield	ספרינגפילד (אילינוי)
Spyware	רוגלה
Squamata	קשקשאים
Square (geometry)	ריבוע
Square metre	מטר מרובע
Square root	שורש ריבועי
Squash (sport)	סקווש
Squirrel	סנאי
Sri Lanka	סרי לנקה
Sri Lanka	קטגוריה:סרי לנקה
St. Louis	סנט לואיס
Stadium	אצטדיון
Stained glass	ויטראז'
Stainless steel	פלדת אל-חלד
Stalinism	סטליניזם
Standard deviation	סטיית תקן
Stanford University	אוניברסיטת סטנפורד
Stanley Kubrick	סטנלי קובריק
Star	כוכב
Star of David	מגן דוד
Starch	עמילן
Starfish	כוכבי ים
State	מדינה
Staten Island	סטטן איילנד
Statistical mechanics	מכניקה סטטיסטית
Statistics	סטטיסטיקה
Statistics	קטגוריה:סטטיסטיקה
Statue of Liberty	פסל החירות
Stavanger	סטוונגר
Steam	אד
Steam engine	מנוע קיטור
Steel	פלדה
Stefan Zweig	סטפן צווייג
Steffi Graf	שטפי גראף
Stegosaurus	סטגוזאור
Stem cell	תא גזע
Stendhal	סטנדל
Stephen Hawking	סטיבן הוקינג
Steppe	הערבה האירואסייתית
Steradian	סטרדיאן
Sternum	עצם החזה
Steroid	סטרואיד
Steven Spielberg	סטיבן ספילברג
Sting	סטינג
Stock exchange	בורסה לניירות ערך
Stockholm	סטוקהולם
Stoicism	האסכולה הסטואית
Stomach	קיבה
Stone Age	תקופת האבן
Stonehenge	סטונהנג'
Stork	חסידה
Storm	סופה
Strait	מצר
Strait of Gibraltar	מצר גיברלטר
Strait of Hormuz	מצר הורמוז
Strait of Magellan	מצר מגלן
Strait of Messina	מצר מסינה
Strasbourg	שטרסבורג
Strategy	אסטרטגיה (מדע המדינה)
Stratigraphy	סטרטיגרפיה
Stratosphere	סטרטוספירה
Strawberry	תות שדה
Stress (medicine)	דחק
String theory	תורת המיתרים
Stroke	שבץ מוחי
Strong interaction	הכוח הגרעיני החזק
Strontium	סטרונציום
Structuralism	סטרוקטורליזם
Student	סטודנט
Stupa	סטופה
Sturmabteilung	אס אה
Stuttgart	שטוטגרט
Styx	סטיקס
Sub-Saharan Africa	אפריקה שמדרום לסהרה
Subculture	תת-תרבות
Sublimation (chemistry)	המראה (פיזיקה)
Submarine	צוללת
Subset	תת קבוצה
Sucre	סוקרה
Sucrose	סוכרוז
Sudan	סודאן
Sudan	קטגוריה:סודאן
Sudoku	סודוקו
Suez Canal	תעלת סואץ
